filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.0903
32,32,0.1,0.001,5,0.089355
32,32,0.1,0.0005,3,0.092091
32,32,0.1,0.0005,5,0.085025
32,32,0.2,0.001,3,0.086888
32,32,0.2,0.001,5,0.090674
32,32,0.2,0.0005,3,0.08873
32,32,0.2,0.0005,5,0.093903
32,64,0.1,0.001,3,0.087045
32,64,0.1,0.001,5,0.087181
32,64,0.1,0.0005,3,0.090094
32,64,0.1,0.0005,5,0.085944
32,64,0.2,0.001,3,0.089805
32,64,0.2,0.001,5,0.088455
32,64,0.2,0.0005,3,0.08814
32,64,0.2,0.0005,5,0.086267
64,32,0.1,0.001,3,0.090621
64,32,0.1,0.001,5,0.089169
64,32,0.1,0.0005,3,0.088923
64,32,0.1,0.0005,5,0.086126
64,32,0.2,0.001,3,0.094362
64,32,0.2,0.001,5,0.08848
64,32,0.2,0.0005,3,0.090862
64,32,0.2,0.0005,5,0.087991
64,64,0.1,0.001,3,0.089083
64,64,0.1,0.001,5,0.086176
64,64,0.1,0.0005,3,0.08949
64,64,0.1,0.0005,5,0.086301
64,64,0.2,0.001,3,0.089114
64,64,0.2,0.001,5,0.087101
64,64,0.2,0.0005,3,0.089042
64,64,0.2,0.0005,5,0.086811
