C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.085881
0.1,0.01,linear,0.083272
0.1,0.05,rbf,0.086574
0.1,0.05,linear,0.083279
0.1,0.1,rbf,0.089832
0.1,0.1,linear,0.086145
0.1,0.5,rbf,0.233623
0.1,0.5,linear,0.233623
1.0,0.01,rbf,0.086794
1.0,0.01,linear,0.084162
1.0,0.05,rbf,0.087069
1.0,0.05,linear,0.083424
1.0,0.1,rbf,0.089332
1.0,0.1,linear,0.085658
1.0,0.5,rbf,0.233623
1.0,0.5,linear,0.233623
10.0,0.01,rbf,0.090813
10.0,0.01,linear,0.08421
10.0,0.05,rbf,0.090064
10.0,0.05,linear,0.08353
10.0,0.1,rbf,0.093028
10.0,0.1,linear,0.085494
10.0,0.5,rbf,0.233623
10.0,0.5,linear,0.233623
100.0,0.01,rbf,0.098649
100.0,0.01,linear,0.084219
100.0,0.05,rbf,0.096501
100.0,0.05,linear,0.083526
100.0,0.1,rbf,0.099606
100.0,0.1,linear,0.085481
100.0,0.5,rbf,0.233623
100.0,0.5,linear,0.233623
