C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.063875
0.1,0.01,linear,0.063436
0.1,0.05,rbf,0.065833
0.1,0.05,linear,0.064433
0.1,0.1,rbf,0.071989
0.1,0.1,linear,0.069289
0.1,0.5,rbf,0.266329
0.1,0.5,linear,0.266329
1.0,0.01,rbf,0.063817
1.0,0.01,linear,0.062881
1.0,0.05,rbf,0.06495
1.0,0.05,linear,0.063386
1.0,0.1,rbf,0.069697
1.0,0.1,linear,0.066975
1.0,0.5,rbf,0.266329
1.0,0.5,linear,0.266329
10.0,0.01,rbf,0.065793
10.0,0.01,linear,0.062923
10.0,0.05,rbf,0.066091
10.0,0.05,linear,0.063336
10.0,0.1,rbf,0.070972
10.0,0.1,linear,0.067029
10.0,0.5,rbf,0.266329
10.0,0.5,linear,0.266329
100.0,0.01,rbf,0.07357
100.0,0.01,linear,0.062882
100.0,0.05,rbf,0.073824
100.0,0.05,linear,0.063261
100.0,0.1,rbf,0.073893
100.0,0.1,linear,0.067085
100.0,0.5,rbf,0.266329
100.0,0.5,linear,0.266329
