iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
500,6,0.1,5,0.0,0.076279
100,8,0.05,5,0.0,0.071837
100,4,0.1,1,0.5,0.073966
500,10,0.2,3,0.0,0.077248
200,6,0.2,3,1.0,0.075904
200,6,0.01,7,0.5,0.075396
200,4,0.2,1,0.0,0.074705
100,8,0.2,7,0.5,0.075183
500,10,0.1,7,0.5,0.073138
100,8,0.01,5,1.0,0.088649
500,8,0.05,5,1.0,0.072033
300,10,0.1,5,0.0,0.074115
100,6,0.2,3,1.0,0.074531
500,4,0.1,3,0.5,0.075183
300,6,0.01,1,0.0,0.072313
100,4,0.1,5,1.0,0.073525
100,4,0.1,5,0.0,0.073525
100,6,0.2,7,1.0,0.073619
200,4,0.1,5,0.5,0.074595
200,4,0.2,7,0.5,0.074272
300,8,0.2,1,0.5,0.076149
500,4,0.2,3,0.5,0.078841
100,4,0.1,3,0.0,0.073024
300,10,0.2,7,0.5,0.0766
200,4,0.01,7,1.0,0.075484
500,10,0.05,1,0.5,0.073761
500,6,0.2,3,1.0,0.076621
500,8,0.2,7,0.5,0.075437
500,10,0.2,1,0.0,0.07969
300,4,0.2,7,0.0,0.07491
200,4,0.1,7,0.0,0.07374
300,6,0.1,3,0.0,0.073598
500,4,0.1,3,0.0,0.075183
200,6,0.2,5,1.0,0.07595
100,4,0.01,5,0.0,0.089068
100,10,0.05,5,0.5,0.072947
500,8,0.2,5,0.0,0.07732
500,10,0.1,7,0.0,0.073138
200,10,0.05,1,0.0,0.073273
500,10,0.05,1,1.0,0.073761
100,10,0.05,3,0.0,0.072556
200,4,0.1,3,0.5,0.073611
200,10,0.01,5,1.0,0.076488
500,10,0.2,1,1.0,0.07969
100,6,0.2,7,0.5,0.073619
300,4,0.01,3,1.0,0.072713
100,8,0.01,3,0.0,0.087613
200,10,0.1,5,0.5,0.073895
200,10,0.05,3,0.5,0.072729
500,4,0.2,5,0.0,0.07758
200,6,0.1,5,0.0,0.073076
100,4,0.2,5,1.0,0.075442
300,6,0.2,1,1.0,0.077025
300,10,0.05,7,0.0,0.072871
100,8,0.1,5,0.5,0.073027
300,4,0.01,3,0.0,0.072713
100,6,0.1,5,1.0,0.072077
300,10,0.2,1,0.5,0.079602
200,8,0.05,1,0.0,0.071805
500,6,0.05,5,0.5,0.072287
500,6,0.01,7,0.0,0.072247
200,10,0.1,7,0.5,0.072298
500,4,0.05,3,0.0,0.073481
200,4,0.01,3,0.5,0.075332
100,6,0.05,7,1.0,0.072377
100,4,0.2,7,0.5,0.073434
500,8,0.01,3,1.0,0.071871
200,4,0.2,3,1.0,0.076648
200,8,0.01,5,1.0,0.074865
100,6,0.1,7,0.0,0.073007
500,10,0.1,3,0.5,0.073846
100,8,0.01,5,0.5,0.088649
500,10,0.01,1,1.0,0.072146
500,10,0.01,5,1.0,0.072589
300,6,0.1,5,1.0,0.074573
500,6,0.1,1,1.0,0.074259
200,10,0.2,1,0.5,0.079472
100,10,0.05,7,0.5,0.072912
200,10,0.2,5,0.5,0.077093
200,10,0.1,3,0.0,0.07374
200,4,0.05,7,0.5,0.072099
500,8,0.05,1,1.0,0.07236
200,6,0.1,7,0.0,0.072866
500,6,0.2,3,0.0,0.076621
100,6,0.1,1,0.5,0.072836
500,4,0.2,7,1.0,0.074328
500,10,0.2,1,0.5,0.07969
100,10,0.1,5,0.5,0.073928
300,10,0.05,5,0.0,0.072715
500,10,0.2,5,0.0,0.077675
100,10,0.05,7,1.0,0.072912
300,6,0.2,3,1.0,0.075993
300,4,0.01,3,0.5,0.072713
200,6,0.2,1,0.0,0.076488
500,6,0.1,5,0.5,0.076279
300,10,0.2,5,0.0,0.077508
200,4,0.1,5,1.0,0.074595
200,8,0.2,5,1.0,0.076123
100,6,0.01,7,0.0,0.089031
200,4,0.2,5,0.0,0.076509
500,10,0.1,5,1.0,0.074946
200,8,0.1,7,1.0,0.073203
300,4,0.1,1,1.0,0.076168
200,6,0.1,7,0.5,0.072866
100,6,0.05,5,0.5,0.071756
200,4,0.1,1,0.0,0.07495
500,4,0.01,3,0.5,0.072204
200,8,0.1,7,0.5,0.073203
200,4,0.1,1,0.5,0.07495
300,8,0.1,5,0.5,0.074027
300,4,0.05,7,0.0,0.072161
300,6,0.2,1,0.5,0.077025
100,10,0.01,1,1.0,0.087953
200,6,0.1,5,0.5,0.073076
500,10,0.2,3,0.5,0.077248
200,6,0.05,1,0.0,0.071854
500,10,0.1,1,0.0,0.075175
300,10,0.05,7,1.0,0.072871
200,6,0.1,3,1.0,0.072954
500,4,0.05,7,0.5,0.07325
300,6,0.01,5,0.0,0.072389
500,4,0.05,7,0.0,0.07325
300,4,0.1,1,0.0,0.076168
500,8,0.1,7,0.5,0.073901
500,6,0.2,7,1.0,0.075919
100,8,0.2,7,0.0,0.075183
300,8,0.2,3,1.0,0.07688
300,8,0.1,1,0.5,0.075936
100,6,0.2,7,0.0,0.073619
100,6,0.01,1,0.0,0.087467
