filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.075865
32,32,0.1,0.001,5,0.072706
32,32,0.1,0.0005,3,0.078001
32,32,0.1,0.0005,5,0.072839
32,32,0.2,0.001,3,0.073224
32,32,0.2,0.001,5,0.074887
32,32,0.2,0.0005,3,0.072722
32,32,0.2,0.0005,5,0.085982
32,64,0.1,0.001,3,0.072373
32,64,0.1,0.001,5,0.069685
32,64,0.1,0.0005,3,0.07262
32,64,0.1,0.0005,5,0.070979
32,64,0.2,0.001,3,0.073594
32,64,0.2,0.001,5,0.070894
32,64,0.2,0.0005,3,0.072445
32,64,0.2,0.0005,5,0.071132
64,32,0.1,0.001,3,0.075957
64,32,0.1,0.001,5,0.073483
64,32,0.1,0.0005,3,0.075417
64,32,0.1,0.0005,5,0.072863
64,32,0.2,0.001,3,0.086189
64,32,0.2,0.001,5,0.073707
64,32,0.2,0.0005,3,0.081252
64,32,0.2,0.0005,5,0.076364
64,64,0.1,0.001,3,0.072014
64,64,0.1,0.001,5,0.070171
64,64,0.1,0.0005,3,0.075835
64,64,0.1,0.0005,5,0.070803
64,64,0.2,0.001,3,0.075091
64,64,0.2,0.001,5,0.071396
64,64,0.2,0.0005,3,0.072002
64,64,0.2,0.0005,5,0.071287
