n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
500,4,0.1,0.7,2,0.075288
100,5,0.05,0.7,2,0.072718
100,3,0.1,0.5,5,0.072743
500,6,0.2,0.6,2,0.08223
200,4,0.2,0.6,10,0.080974
200,4,0.01,0.8,5,0.074213
200,3,0.2,0.5,2,0.07746
100,5,0.2,0.8,5,0.079893
500,6,0.1,0.8,5,0.07592
100,5,0.01,0.7,10,0.086177
500,5,0.05,0.7,10,0.073951
300,6,0.1,0.7,2,0.076077
100,4,0.2,0.6,10,0.08054
500,3,0.1,0.6,5,0.078703
300,4,0.01,0.5,2,0.071937
100,3,0.1,0.7,10,0.071208
100,3,0.1,0.7,2,0.072273
100,4,0.2,0.8,10,0.077269
200,3,0.1,0.7,5,0.073288
200,3,0.2,0.8,5,0.080822
300,5,0.2,0.5,5,0.0767
500,3,0.2,0.6,5,0.082
100,3,0.1,0.6,2,0.071752
300,6,0.2,0.8,5,0.078107
200,3,0.01,0.8,10,0.074949
500,6,0.05,0.5,5,0.075408
500,4,0.2,0.6,10,0.083232
500,5,0.2,0.8,5,0.080869
500,6,0.2,0.5,2,0.083402
300,3,0.2,0.8,2,0.081814
200,3,0.1,0.8,2,0.072578
300,4,0.1,0.6,2,0.0801
500,3,0.1,0.6,2,0.076736
200,4,0.2,0.7,10,0.080125
100,3,0.01,0.7,2,0.087896
100,6,0.05,0.7,5,0.07339
500,5,0.2,0.7,2,0.078484
500,6,0.1,0.8,2,0.073995
200,6,0.05,0.5,2,0.075873
500,6,0.05,0.5,10,0.076147
100,6,0.05,0.6,2,0.075368
200,3,0.1,0.6,5,0.074246
200,6,0.01,0.7,10,0.074121
500,6,0.2,0.5,10,0.080537
100,4,0.2,0.8,5,0.078862
300,3,0.01,0.6,10,0.071815
100,5,0.01,0.6,2,0.086049
200,6,0.1,0.7,5,0.072967
200,6,0.05,0.6,5,0.074854
500,3,0.2,0.7,2,0.078636
200,4,0.1,0.7,2,0.073868
100,3,0.2,0.7,10,0.072916
300,4,0.2,0.5,10,0.082147
300,6,0.05,0.8,2,0.075407
100,5,0.1,0.7,5,0.073682
300,3,0.01,0.6,2,0.071847
100,4,0.1,0.7,10,0.072418
300,6,0.2,0.5,5,0.083809
200,5,0.05,0.5,2,0.075686
500,4,0.05,0.7,5,0.073546
500,4,0.01,0.8,2,0.072
200,6,0.1,0.8,5,0.075699
500,3,0.05,0.6,2,0.073564
200,3,0.01,0.6,5,0.074524
100,4,0.05,0.8,10,0.072294
100,3,0.2,0.8,5,0.077747
500,5,0.01,0.6,10,0.072192
200,3,0.2,0.6,10,0.078876
200,5,0.01,0.7,10,0.073839
100,4,0.1,0.8,2,0.072535
500,6,0.1,0.6,5,0.077165
100,5,0.01,0.7,5,0.086129
500,6,0.01,0.5,10,0.071862
500,6,0.01,0.7,10,0.07222
300,4,0.1,0.7,10,0.07461
500,4,0.1,0.5,10,0.079783
200,6,0.2,0.5,5,0.083622
100,6,0.05,0.8,5,0.073062
200,6,0.2,0.7,5,0.079903
200,6,0.1,0.6,2,0.074386
200,3,0.05,0.8,5,0.07215
500,5,0.05,0.5,10,0.078612
200,4,0.1,0.8,2,0.073477
500,4,0.2,0.6,2,0.080119
100,4,0.1,0.5,5,0.07508
500,3,0.2,0.8,10,0.080831
500,6,0.2,0.5,5,0.08395
100,6,0.1,0.7,5,0.072251
300,6,0.05,0.7,2,0.074357
500,6,0.2,0.7,2,0.07914
100,6,0.05,0.8,10,0.073219
300,4,0.2,0.6,10,0.082312
300,3,0.01,0.6,5,0.071844
200,4,0.2,0.5,2,0.07718
500,4,0.1,0.7,5,0.07719
300,6,0.2,0.7,2,0.0791
200,3,0.1,0.7,10,0.072919
200,5,0.2,0.7,10,0.07967
100,4,0.01,0.8,2,0.086949
200,3,0.2,0.7,2,0.076273
500,6,0.1,0.7,10,0.076755
200,5,0.1,0.8,10,0.075737
300,3,0.1,0.5,10,0.075917
200,4,0.1,0.8,5,0.073932
100,4,0.05,0.7,5,0.072451
200,3,0.1,0.5,2,0.074614
500,3,0.01,0.6,5,0.071193
200,5,0.1,0.8,5,0.077054
200,3,0.1,0.5,5,0.074989
300,5,0.1,0.7,5,0.076561
300,3,0.05,0.8,2,0.072213
300,4,0.2,0.5,5,0.0817
100,6,0.01,0.5,10,0.085297
200,4,0.1,0.7,5,0.075417
500,6,0.2,0.6,5,0.078231
200,4,0.05,0.5,2,0.07335
500,6,0.1,0.5,2,0.077445
300,6,0.05,0.8,10,0.074256
200,4,0.1,0.6,10,0.076418
500,3,0.05,0.8,5,0.07359
300,4,0.01,0.7,2,0.071665
500,3,0.05,0.8,2,0.073391
300,3,0.1,0.5,2,0.076803
500,5,0.1,0.8,5,0.078023
500,4,0.2,0.8,10,0.079251
100,5,0.2,0.8,2,0.079503
300,5,0.2,0.6,10,0.082596
300,5,0.1,0.5,5,0.079938
100,4,0.2,0.8,2,0.079368
100,4,0.01,0.5,2,0.08655
100,5,0.05,0.6,5,0.073001
100,6,0.05,0.5,2,0.074534
500,6,0.05,0.5,2,0.076434
500,6,0.01,0.8,5,0.072657
500,3,0.1,0.8,5,0.075772
100,4,0.05,0.6,10,0.072355
300,3,0.01,0.8,5,0.072356
300,3,0.01,0.7,2,0.072199
500,5,0.1,0.8,10,0.077156
300,4,0.2,0.8,10,0.079094
300,6,0.05,0.5,5,0.074958
200,4,0.05,0.6,10,0.073272
300,6,0.2,0.5,10,0.080449
100,3,0.01,0.8,10,0.087919
100,5,0.05,0.8,2,0.073444
500,6,0.01,0.8,10,0.073323
500,5,0.05,0.5,5,0.076969
500,6,0.01,0.8,2,0.073104
500,6,0.2,0.8,5,0.078151
500,5,0.2,0.5,5,0.077131
300,4,0.05,0.5,5,0.074
100,6,0.05,0.6,10,0.074643
500,5,0.05,0.8,2,0.074966
100,3,0.01,0.6,2,0.087741
500,4,0.1,0.5,5,0.081509
300,5,0.1,0.7,10,0.074087
100,6,0.2,0.5,10,0.08052
300,5,0.2,0.6,2,0.081011
100,5,0.05,0.5,2,0.073673
200,5,0.05,0.6,10,0.074854
500,4,0.01,0.6,10,0.071435
500,6,0.05,0.8,10,0.074781
500,4,0.05,0.5,2,0.07513
200,6,0.2,0.8,5,0.07813
