C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.069326
0.1,0.01,linear,0.068475
0.1,0.05,rbf,0.071471
0.1,0.05,linear,0.069578
0.1,0.1,rbf,0.076997
0.1,0.1,linear,0.074433
0.1,0.5,rbf,0.236277
0.1,0.5,linear,0.236277
1.0,0.01,rbf,0.068707
1.0,0.01,linear,0.067935
1.0,0.05,rbf,0.070092
1.0,0.05,linear,0.068544
1.0,0.1,rbf,0.075
1.0,0.1,linear,0.071961
1.0,0.5,rbf,0.236277
1.0,0.5,linear,0.236277
10.0,0.01,rbf,0.069931
10.0,0.01,linear,0.067899
10.0,0.05,rbf,0.073152
10.0,0.05,linear,0.068469
10.0,0.1,rbf,0.07649
10.0,0.1,linear,0.071441
10.0,0.5,rbf,0.236277
10.0,0.5,linear,0.236277
100.0,0.01,rbf,0.073388
100.0,0.01,linear,0.067866
100.0,0.05,rbf,0.080796
100.0,0.05,linear,0.068471
100.0,0.1,rbf,0.079745
100.0,0.1,linear,0.071356
100.0,0.5,rbf,0.236277
100.0,0.5,linear,0.236277
