C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.089336
0.1,0.01,linear,0.088938
0.1,0.05,rbf,0.089315
0.1,0.05,linear,0.088412
0.1,0.1,rbf,0.090236
0.1,0.1,linear,0.090691
0.1,0.5,rbf,0.217501
0.1,0.5,linear,0.217501
1.0,0.01,rbf,0.093031
1.0,0.01,linear,0.089073
1.0,0.05,rbf,0.090369
1.0,0.05,linear,0.088616
1.0,0.1,rbf,0.090553
1.0,0.1,linear,0.089646
1.0,0.5,rbf,0.217501
1.0,0.5,linear,0.217501
10.0,0.01,rbf,0.097661
10.0,0.01,linear,0.089131
10.0,0.05,rbf,0.095351
10.0,0.05,linear,0.088691
10.0,0.1,rbf,0.094632
10.0,0.1,linear,0.08958
10.0,0.5,rbf,0.217501
10.0,0.5,linear,0.217501
100.0,0.01,rbf,0.107575
100.0,0.01,linear,0.089141
100.0,0.05,rbf,0.101894
100.0,0.05,linear,0.088685
100.0,0.1,rbf,0.100391
100.0,0.1,linear,0.089606
100.0,0.5,rbf,0.217501
100.0,0.5,linear,0.217501
