filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.089745
32,32,0.1,0.0005,3,0.095182
32,32,0.2,0.001,3,0.102148
32,32,0.2,0.0005,3,0.095424
32,64,0.1,0.001,3,0.069488
32,64,0.1,0.0005,3,0.07851
32,64,0.2,0.001,3,0.069515
32,64,0.2,0.0005,3,0.092797
