hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.08165
32,0.1,0.0005,0.081366
32,0.2,0.001,0.098268
32,0.2,0.0005,0.087231
64,0.1,0.001,0.082704
64,0.1,0.0005,0.081606
64,0.2,0.001,0.087511
64,0.2,0.0005,0.086925
