hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.08326
32,0.1,0.0005,0.079015
32,0.2,0.001,0.116388
32,0.2,0.0005,0.083494
64,0.1,0.001,0.079797
64,0.1,0.0005,0.082509
64,0.2,0.001,0.092147
64,0.2,0.0005,0.086883
