n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
500,3,0.01,0.8,0.6,0.0,1.0,0.081675
100,5,0.01,0.7,1.0,0.1,1.0,0.096538
100,3,0.05,1.0,0.8,1.0,1.0,0.082737
500,5,0.01,0.6,1.0,1.0,2.0,0.082591
200,4,0.01,1.0,0.8,0.1,1.0,0.085608
200,3,0.1,0.8,0.6,1.0,2.0,0.08293
200,3,0.01,1.0,1.0,0.0,1.5,0.086733
100,5,0.1,0.8,0.8,0.0,1.0,0.084716
500,4,0.2,1.0,0.8,0.1,1.0,0.090911
100,4,0.2,1.0,0.6,0.0,2.0,0.084519
500,3,0.2,0.7,0.6,1.0,2.0,0.087265
500,5,0.01,0.6,1.0,0.0,1.5,0.082024
300,5,0.05,0.7,0.8,0.1,1.0,0.084318
100,4,0.1,0.8,0.8,0.0,1.5,0.083155
300,6,0.01,1.0,0.6,0.1,1.5,0.082156
300,3,0.01,0.6,0.6,0.0,1.0,0.082327
100,3,0.1,0.7,0.8,1.0,2.0,0.082674
100,3,0.1,0.7,0.6,0.0,1.5,0.081321
100,4,0.2,0.6,0.8,0.0,2.0,0.085136
200,3,0.01,0.8,0.8,0.0,1.0,0.085786
200,3,0.05,0.8,0.8,1.0,1.0,0.083069
300,4,0.1,0.7,0.6,1.0,2.0,0.085797
300,6,0.05,0.8,0.8,1.0,2.0,0.084086
100,3,0.1,0.6,0.6,0.0,1.5,0.081833
300,5,0.1,0.8,0.6,1.0,1.5,0.085117
100,6,0.2,0.6,0.6,1.0,2.0,0.083276
500,4,0.1,0.7,0.6,1.0,1.0,0.086228
500,3,0.05,0.7,0.6,0.1,1.5,0.084537
500,4,0.05,0.6,1.0,0.1,1.0,0.085986
300,5,0.05,0.7,0.8,0.0,1.0,0.084877
200,6,0.2,1.0,0.6,1.0,1.5,0.083252
200,3,0.01,0.8,1.0,0.1,2.0,0.086031
300,3,0.1,0.6,0.6,1.0,1.5,0.083419
300,6,0.01,0.8,1.0,0.1,1.0,0.081985
200,4,0.05,0.6,0.8,0.0,1.5,0.0836
500,6,0.05,0.7,0.8,1.0,1.0,0.084489
100,3,0.01,0.7,1.0,1.0,2.0,0.099343
500,5,0.05,0.8,0.6,1.0,1.0,0.084414
500,6,0.05,0.6,0.8,0.1,1.5,0.084318
100,6,0.01,0.6,0.8,0.0,2.0,0.096537
500,4,0.01,1.0,1.0,0.1,1.5,0.083034
300,3,0.01,0.6,0.6,1.0,1.0,0.083731
200,5,0.05,1.0,0.6,1.0,1.0,0.082564
200,4,0.05,0.6,0.6,1.0,2.0,0.082492
100,5,0.2,1.0,0.6,0.1,1.5,0.086352
200,3,0.01,0.7,0.6,1.0,2.0,0.086563
500,5,0.05,1.0,0.8,1.0,2.0,0.084353
200,5,0.05,0.8,0.6,0.1,1.0,0.082936
100,4,0.2,1.0,0.6,0.0,1.0,0.082198
100,4,0.2,0.6,0.6,0.1,1.0,0.08337
200,6,0.01,1.0,0.6,1.0,1.5,0.086211
100,4,0.2,0.7,0.8,0.0,1.0,0.086999
200,5,0.2,0.6,1.0,1.0,1.0,0.08481
200,5,0.1,0.6,0.8,0.0,1.0,0.085623
300,6,0.05,1.0,0.6,0.1,1.5,0.083806
200,4,0.01,0.6,0.6,1.0,1.0,0.086064
500,6,0.05,0.6,1.0,0.1,2.0,0.086319
100,3,0.2,0.7,0.6,0.1,1.5,0.083424
500,4,0.2,0.7,0.8,0.0,1.5,0.091129
300,3,0.1,1.0,0.8,0.0,1.5,0.085215
300,5,0.01,0.8,1.0,0.0,1.0,0.082898
100,5,0.05,0.7,1.0,0.1,2.0,0.081939
200,6,0.01,0.8,1.0,0.1,1.5,0.084207
100,4,0.05,1.0,1.0,1.0,1.0,0.084499
300,5,0.05,1.0,0.8,0.1,1.5,0.083175
200,4,0.1,0.6,1.0,1.0,1.5,0.084091
500,6,0.1,1.0,0.8,1.0,2.0,0.083945
300,6,0.2,0.8,1.0,0.0,1.5,0.08803
300,6,0.1,1.0,0.8,1.0,2.0,0.083945
200,5,0.2,0.7,1.0,0.0,1.5,0.085688
300,5,0.2,1.0,0.6,0.1,1.5,0.088133
100,6,0.1,0.8,0.8,0.0,1.0,0.083783
500,4,0.05,0.7,1.0,0.0,2.0,0.085808
100,4,0.05,0.7,0.6,0.0,2.0,0.08296
100,3,0.2,0.7,1.0,1.0,1.0,0.08255
500,3,0.1,0.6,0.8,1.0,2.0,0.085926
200,3,0.05,0.7,0.6,0.1,1.0,0.081783
500,5,0.1,0.8,0.8,0.1,2.0,0.089003
200,4,0.05,1.0,1.0,0.1,1.0,0.082982
100,4,0.1,0.6,0.6,0.1,2.0,0.082105
200,3,0.05,0.8,0.8,1.0,2.0,0.08256
100,4,0.2,0.8,0.8,1.0,2.0,0.085584
200,6,0.01,1.0,0.6,1.0,2.0,0.086074
200,4,0.05,0.6,0.8,0.0,1.0,0.083214
300,3,0.1,0.7,0.8,1.0,1.0,0.084095
500,3,0.01,0.6,1.0,0.1,2.0,0.081631
500,6,0.2,0.7,0.6,0.0,2.0,0.089682
200,5,0.2,0.8,1.0,0.0,1.0,0.08824
100,6,0.01,0.7,0.8,0.0,1.0,0.095631
200,6,0.01,0.6,0.6,1.0,2.0,0.086204
200,5,0.1,1.0,1.0,0.1,1.0,0.087241
100,6,0.2,1.0,0.8,1.0,1.0,0.084507
500,3,0.1,1.0,0.8,0.0,1.0,0.085995
200,4,0.01,0.7,0.6,0.0,1.0,0.084273
500,4,0.05,0.6,1.0,1.0,1.5,0.083738
500,3,0.2,1.0,0.8,0.0,1.5,0.090592
500,3,0.05,0.6,0.8,1.0,1.5,0.084027
100,4,0.05,0.7,0.8,1.0,2.0,0.082782
300,6,0.1,0.6,1.0,0.1,1.5,0.087808
500,3,0.01,0.6,0.8,1.0,2.0,0.082648
100,6,0.01,1.0,1.0,1.0,1.0,0.099478
300,5,0.01,0.8,0.6,0.0,1.5,0.082165
500,4,0.2,0.7,0.6,1.0,1.0,0.087801
200,3,0.1,0.8,0.6,1.0,1.5,0.082767
100,6,0.01,0.7,0.8,1.0,1.0,0.098713
300,3,0.2,0.6,0.6,1.0,1.0,0.085816
200,6,0.01,1.0,0.6,0.1,1.0,0.083992
200,4,0.01,0.7,1.0,1.0,1.0,0.086377
500,3,0.01,0.8,0.6,0.1,1.5,0.081752
500,4,0.01,0.6,1.0,0.1,1.0,0.082124
300,5,0.1,0.6,1.0,1.0,2.0,0.084055
200,3,0.01,0.8,0.8,1.0,2.0,0.086971
500,3,0.2,1.0,1.0,0.0,1.5,0.090445
200,5,0.01,0.8,0.8,0.0,1.5,0.083911
500,6,0.2,1.0,1.0,0.0,1.5,0.086693
500,5,0.1,0.7,0.6,0.1,1.0,0.088883
500,5,0.1,1.0,0.8,0.0,2.0,0.0892
100,4,0.01,0.6,1.0,1.0,2.0,0.098599
200,3,0.05,0.7,0.8,0.1,1.5,0.082661
500,6,0.1,0.7,0.8,0.0,1.0,0.085335
100,3,0.1,0.7,1.0,0.0,1.5,0.083025
500,6,0.05,0.6,0.6,1.0,1.0,0.0838
200,4,0.2,1.0,1.0,0.0,1.5,0.087245
200,6,0.1,0.7,1.0,0.0,1.5,0.084082
200,4,0.01,0.7,0.6,1.0,1.0,0.086056
100,4,0.05,0.6,0.6,0.0,2.0,0.082205
200,3,0.01,0.6,0.6,0.0,1.0,0.085324
