C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.075778
0.1,0.01,linear,0.075413
0.1,0.05,rbf,0.075383
0.1,0.05,linear,0.075581
0.1,0.1,rbf,0.076655
0.1,0.1,linear,0.077611
0.1,0.5,rbf,0.197665
0.1,0.5,linear,0.197665
1.0,0.01,rbf,0.077312
1.0,0.01,linear,0.075372
1.0,0.05,rbf,0.076621
1.0,0.05,linear,0.0752
1.0,0.1,rbf,0.078299
1.0,0.1,linear,0.076518
1.0,0.5,rbf,0.197665
1.0,0.5,linear,0.197665
10.0,0.01,rbf,0.083506
10.0,0.01,linear,0.075335
10.0,0.05,rbf,0.082717
10.0,0.05,linear,0.07516
10.0,0.1,rbf,0.082843
10.0,0.1,linear,0.076423
10.0,0.5,rbf,0.197665
10.0,0.5,linear,0.197665
100.0,0.01,rbf,0.105095
100.0,0.01,linear,0.075329
100.0,0.05,rbf,0.09653
100.0,0.05,linear,0.075139
100.0,0.1,rbf,0.093232
100.0,0.1,linear,0.076488
100.0,0.5,rbf,0.197665
100.0,0.5,linear,0.197665
