filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.072033
32,32,0.1,0.001,5,0.06943
32,32,0.1,0.0005,3,0.074427
32,32,0.1,0.0005,5,0.069087
32,32,0.2,0.001,3,0.068917
32,32,0.2,0.001,5,0.073428
32,32,0.2,0.0005,3,0.06914
32,32,0.2,0.0005,5,0.080327
32,64,0.1,0.001,3,0.068347
32,64,0.1,0.001,5,0.06688
32,64,0.1,0.0005,3,0.068469
32,64,0.1,0.0005,5,0.067583
32,64,0.2,0.001,3,0.06895
32,64,0.2,0.001,5,0.06727
32,64,0.2,0.0005,3,0.068483
32,64,0.2,0.0005,5,0.068602
64,32,0.1,0.001,3,0.072651
64,32,0.1,0.001,5,0.070158
64,32,0.1,0.0005,3,0.073505
64,32,0.1,0.0005,5,0.070691
64,32,0.2,0.001,3,0.079295
64,32,0.2,0.001,5,0.071376
64,32,0.2,0.0005,3,0.076612
64,32,0.2,0.0005,5,0.075659
64,64,0.1,0.001,3,0.068474
64,64,0.1,0.001,5,0.067699
64,64,0.1,0.0005,3,0.067764
64,64,0.1,0.0005,5,0.06753
64,64,0.2,0.001,3,0.071044
64,64,0.2,0.001,5,0.06858
64,64,0.2,0.0005,3,0.06801
64,64,0.2,0.0005,5,0.070088
