C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.076386
0.1,0.01,linear,0.075381
0.1,0.05,rbf,0.075949
0.1,0.05,linear,0.075189
0.1,0.1,rbf,0.076593
0.1,0.1,linear,0.075219
0.1,0.5,rbf,0.21941
0.1,0.5,linear,0.21941
1.0,0.01,rbf,0.077733
1.0,0.01,linear,0.076071
1.0,0.05,rbf,0.07709
1.0,0.05,linear,0.076027
1.0,0.1,rbf,0.07752
1.0,0.1,linear,0.075402
1.0,0.5,rbf,0.21941
1.0,0.5,linear,0.21941
10.0,0.01,rbf,0.08083
10.0,0.01,linear,0.076168
10.0,0.05,rbf,0.078174
10.0,0.05,linear,0.076198
10.0,0.1,rbf,0.077986
10.0,0.1,linear,0.075611
10.0,0.5,rbf,0.21941
10.0,0.5,linear,0.21941
100.0,0.01,rbf,0.086293
100.0,0.01,linear,0.076205
100.0,0.05,rbf,0.08147
100.0,0.05,linear,0.076204
100.0,0.1,rbf,0.081444
100.0,0.1,linear,0.075664
100.0,0.5,rbf,0.21941
100.0,0.5,linear,0.21941
