C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.082921
0.1,0.01,linear,0.081619
0.1,0.05,rbf,0.083114
0.1,0.05,linear,0.081601
0.1,0.1,rbf,0.082522
0.1,0.1,linear,0.082366
0.1,0.5,rbf,0.197349
0.1,0.5,linear,0.197349
1.0,0.01,rbf,0.0845
1.0,0.01,linear,0.081713
1.0,0.05,rbf,0.085055
1.0,0.05,linear,0.081819
1.0,0.1,rbf,0.083897
1.0,0.1,linear,0.08236
1.0,0.5,rbf,0.197349
1.0,0.5,linear,0.197349
10.0,0.01,rbf,0.087451
10.0,0.01,linear,0.08174
10.0,0.05,rbf,0.087618
10.0,0.05,linear,0.081887
10.0,0.1,rbf,0.085303
10.0,0.1,linear,0.082373
10.0,0.5,rbf,0.197349
10.0,0.5,linear,0.197349
100.0,0.01,rbf,0.091879
100.0,0.01,linear,0.08172
100.0,0.05,rbf,0.090898
100.0,0.05,linear,0.081894
100.0,0.1,rbf,0.090036
100.0,0.1,linear,0.082397
100.0,0.5,rbf,0.197349
100.0,0.5,linear,0.197349
