filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.072741
32,32,0.1,0.001,5,0.069325
32,32,0.1,0.0005,3,0.076627
32,32,0.1,0.0005,5,0.067341
32,32,0.2,0.001,3,0.069004
32,32,0.2,0.001,5,0.073209
32,32,0.2,0.0005,3,0.067816
32,32,0.2,0.0005,5,0.083734
32,64,0.1,0.001,3,0.06813
32,64,0.1,0.001,5,0.064113
32,64,0.1,0.0005,3,0.069534
32,64,0.1,0.0005,5,0.065396
32,64,0.2,0.001,3,0.068044
32,64,0.2,0.001,5,0.070095
32,64,0.2,0.0005,3,0.068588
32,64,0.2,0.0005,5,0.065118
64,32,0.1,0.001,3,0.074651
64,32,0.1,0.001,5,0.070587
64,32,0.1,0.0005,3,0.074778
64,32,0.1,0.0005,5,0.070367
64,32,0.2,0.001,3,0.083047
64,32,0.2,0.001,5,0.0694
64,32,0.2,0.0005,3,0.080674
64,32,0.2,0.0005,5,0.073682
64,64,0.1,0.001,3,0.066317
64,64,0.1,0.001,5,0.064053
64,64,0.1,0.0005,3,0.067817
64,64,0.1,0.0005,5,0.065179
64,64,0.2,0.001,3,0.071341
64,64,0.2,0.001,5,0.069124
64,64,0.2,0.0005,3,0.069092
64,64,0.2,0.0005,5,0.066964
