n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
500,4,0.1,0.7,2,0.0892
100,5,0.05,0.7,2,0.083123
100,3,0.1,0.5,5,0.082645
500,6,0.2,0.6,2,0.090402
200,4,0.2,0.6,10,0.090956
200,4,0.01,0.8,5,0.084658
200,3,0.2,0.5,2,0.089779
100,5,0.2,0.8,5,0.086563
500,6,0.1,0.8,5,0.086939
100,5,0.01,0.7,10,0.094769
500,5,0.05,0.7,10,0.085878
300,6,0.1,0.7,2,0.085901
100,4,0.2,0.6,10,0.088111
500,3,0.1,0.6,5,0.086461
300,4,0.01,0.5,2,0.082209
100,3,0.1,0.7,10,0.083653
100,3,0.1,0.7,2,0.083442
100,4,0.2,0.8,10,0.087624
200,3,0.1,0.7,5,0.085303
200,3,0.2,0.8,5,0.085868
300,5,0.2,0.5,5,0.094669
500,3,0.2,0.6,5,0.091695
100,3,0.1,0.6,2,0.082737
300,6,0.2,0.8,5,0.088372
200,3,0.01,0.8,10,0.086065
500,6,0.05,0.5,5,0.083295
500,4,0.2,0.6,10,0.093281
500,5,0.2,0.8,5,0.088889
500,6,0.2,0.5,2,0.093424
300,3,0.2,0.8,2,0.088857
200,3,0.1,0.8,2,0.083197
300,4,0.1,0.6,2,0.089154
500,3,0.1,0.6,2,0.086684
200,4,0.2,0.7,10,0.084619
100,3,0.01,0.7,2,0.098443
100,6,0.05,0.7,5,0.083983
500,5,0.2,0.7,2,0.091675
500,6,0.1,0.8,2,0.087379
200,6,0.05,0.5,2,0.083587
500,6,0.05,0.5,10,0.085714
100,6,0.05,0.6,2,0.08121
200,3,0.1,0.6,5,0.083848
200,6,0.01,0.7,10,0.082497
500,6,0.2,0.5,10,0.090327
100,4,0.2,0.8,5,0.089341
300,3,0.01,0.6,10,0.082327
100,5,0.01,0.6,2,0.094819
200,6,0.1,0.7,5,0.087244
200,6,0.05,0.6,5,0.083507
500,3,0.2,0.7,2,0.092399
200,4,0.1,0.7,2,0.086841
100,3,0.2,0.7,10,0.085049
300,4,0.2,0.5,10,0.088477
300,6,0.05,0.8,2,0.085246
100,5,0.1,0.7,5,0.086077
300,3,0.01,0.6,2,0.082329
100,4,0.1,0.7,10,0.085068
300,6,0.2,0.5,5,0.088779
200,5,0.05,0.5,2,0.083143
500,4,0.05,0.7,5,0.085001
500,4,0.01,0.8,2,0.082685
200,6,0.1,0.8,5,0.086456
500,3,0.05,0.6,2,0.08595
200,3,0.01,0.6,5,0.085154
100,4,0.05,0.8,10,0.082893
100,3,0.2,0.8,5,0.084036
500,5,0.01,0.6,10,0.08191
200,3,0.2,0.6,10,0.088541
200,5,0.01,0.7,10,0.08267
100,4,0.1,0.8,2,0.084089
500,6,0.1,0.6,5,0.087885
100,5,0.01,0.7,5,0.094805
500,6,0.01,0.5,10,0.081789
500,6,0.01,0.7,10,0.082185
300,4,0.1,0.7,10,0.087744
500,4,0.1,0.5,10,0.09043
200,6,0.2,0.5,5,0.088841
100,6,0.05,0.8,5,0.082466
200,6,0.2,0.7,5,0.087502
200,6,0.1,0.6,2,0.08543
200,3,0.05,0.8,5,0.08359
500,5,0.05,0.5,10,0.08476
200,4,0.1,0.8,2,0.085606
500,4,0.2,0.6,2,0.088779
100,4,0.1,0.5,5,0.085072
500,3,0.2,0.8,10,0.089814
500,6,0.2,0.5,5,0.08893
100,6,0.1,0.7,5,0.086359
300,6,0.05,0.7,2,0.085395
500,6,0.2,0.7,2,0.084975
100,6,0.05,0.8,10,0.082139
300,4,0.2,0.6,10,0.09331
300,3,0.01,0.6,5,0.082329
200,4,0.2,0.5,2,0.093201
500,4,0.1,0.7,5,0.087009
300,6,0.2,0.7,2,0.085008
200,3,0.1,0.7,10,0.083853
200,5,0.2,0.7,10,0.088018
100,4,0.01,0.8,2,0.09703
200,3,0.2,0.7,2,0.089044
500,6,0.1,0.7,10,0.086263
200,5,0.1,0.8,10,0.085151
300,3,0.1,0.5,10,0.085337
200,4,0.1,0.8,5,0.085992
100,4,0.05,0.7,5,0.082889
200,3,0.1,0.5,2,0.084247
500,3,0.01,0.6,5,0.081721
200,5,0.1,0.8,5,0.085556
200,3,0.1,0.5,5,0.083866
300,5,0.1,0.7,5,0.089416
300,3,0.05,0.8,2,0.083148
300,4,0.2,0.5,5,0.096739
100,6,0.01,0.5,10,0.093746
200,4,0.1,0.7,5,0.085805
500,6,0.2,0.6,5,0.088979
200,4,0.05,0.5,2,0.083035
500,6,0.1,0.5,2,0.086413
300,6,0.05,0.8,10,0.083748
200,4,0.1,0.6,10,0.085333
500,3,0.05,0.8,5,0.08519
300,4,0.01,0.7,2,0.082317
500,3,0.05,0.8,2,0.084364
300,3,0.1,0.5,2,0.085031
500,5,0.1,0.8,5,0.087112
500,4,0.2,0.8,10,0.090547
100,5,0.2,0.8,2,0.087777
300,5,0.2,0.6,10,0.091654
300,5,0.1,0.5,5,0.086784
100,4,0.2,0.8,2,0.087844
100,4,0.01,0.5,2,0.096266
100,5,0.05,0.6,5,0.083826
100,6,0.05,0.5,2,0.081694
500,6,0.05,0.5,2,0.085255
500,6,0.01,0.8,5,0.083022
500,3,0.1,0.8,5,0.087678
100,4,0.05,0.6,10,0.082926
300,3,0.01,0.8,5,0.083167
300,3,0.01,0.7,2,0.083016
500,5,0.1,0.8,10,0.086551
300,4,0.2,0.8,10,0.089558
300,6,0.05,0.5,5,0.082566
200,4,0.05,0.6,10,0.083613
300,6,0.2,0.5,10,0.090255
100,3,0.01,0.8,10,0.098665
100,5,0.05,0.8,2,0.083854
500,6,0.01,0.8,10,0.083108
500,5,0.05,0.5,5,0.085206
500,6,0.01,0.8,2,0.082861
500,6,0.2,0.8,5,0.088404
500,5,0.2,0.5,5,0.094645
300,4,0.05,0.5,5,0.083177
100,6,0.05,0.6,10,0.081571
500,5,0.05,0.8,2,0.086793
100,3,0.01,0.6,2,0.098306
500,4,0.1,0.5,5,0.088634
300,5,0.1,0.7,10,0.088212
100,6,0.2,0.5,10,0.090841
300,5,0.2,0.6,2,0.090288
100,5,0.05,0.5,2,0.082614
200,5,0.05,0.6,10,0.083916
500,4,0.01,0.6,10,0.081451
500,6,0.05,0.8,10,0.084963
500,4,0.05,0.5,2,0.085227
200,6,0.2,0.8,5,0.088475
100,6,0.05,0.8,2,0.083338
300,6,0.1,0.5,2,0.086039
300,6,0.05,0.6,2,0.082366
100,3,0.01,0.5,2,0.098133
200,5,0.2,0.7,5,0.087584
300,5,0.05,0.7,10,0.084847
100,3,0.05,0.7,5,0.082987
500,3,0.2,0.7,5,0.092845
200,6,0.1,0.8,10,0.087048
200,5,0.1,0.5,10,0.087154
200,4,0.01,0.6,10,0.083622
100,4,0.01,0.8,10,0.097031
200,4,0.01,0.7,2,0.084126
500,4,0.2,0.5,5,0.097402
500,5,0.2,0.6,2,0.090854
100,4,0.2,0.6,2,0.086064
300,5,0.05,0.6,10,0.085241
100,4,0.05,0.8,5,0.08309
300,6,0.05,0.6,10,0.082602
100,5,0.1,0.7,10,0.084886
100,5,0.1,0.8,10,0.084486
300,5,0.01,0.7,2,0.081555
300,6,0.1,0.8,5,0.086539
100,6,0.1,0.5,5,0.084607
500,6,0.2,0.8,10,0.088722
300,6,0.05,0.5,2,0.084605
300,4,0.01,0.5,5,0.082091
500,4,0.2,0.5,10,0.089566
500,3,0.1,0.5,10,0.087384
200,3,0.05,0.5,5,0.082122
200,5,0.1,0.7,5,0.088342
500,4,0.05,0.8,2,0.086164
500,6,0.2,0.7,10,0.085583
300,4,0.05,0.6,5,0.083877
300,6,0.01,0.5,5,0.081256
300,4,0.1,0.7,2,0.088395
100,5,0.1,0.6,2,0.081275
200,4,0.05,0.5,5,0.081907
200,3,0.2,0.5,10,0.08558
500,4,0.01,0.7,10,0.082405
200,6,0.01,0.8,5,0.083279
100,3,0.05,0.8,2,0.082687
200,3,0.2,0.7,5,0.08851
500,6,0.05,0.6,10,0.083448
100,3,0.01,0.7,5,0.098443
100,4,0.1,0.5,2,0.083795
100,4,0.05,0.5,2,0.081705
500,4,0.2,0.7,10,0.08639
100,4,0.05,0.8,2,0.082949
500,4,0.2,0.7,5,0.089282
200,6,0.01,0.5,10,0.082446
500,6,0.05,0.7,5,0.086225
300,5,0.2,0.8,5,0.088805
200,4,0.01,0.6,2,0.083621
200,4,0.2,0.8,2,0.091051
500,3,0.01,0.8,10,0.082241
