C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.083355
0.1,0.01,linear,0.0812
0.1,0.05,rbf,0.084028
0.1,0.05,linear,0.081955
0.1,0.1,rbf,0.088714
0.1,0.1,linear,0.085957
0.1,0.5,rbf,0.228495
0.1,0.5,linear,0.228495
1.0,0.01,rbf,0.083547
1.0,0.01,linear,0.081375
1.0,0.05,rbf,0.083934
1.0,0.05,linear,0.081613
1.0,0.1,rbf,0.088127
1.0,0.1,linear,0.08414
1.0,0.5,rbf,0.228495
1.0,0.5,linear,0.228495
10.0,0.01,rbf,0.087513
10.0,0.01,linear,0.081379
10.0,0.05,rbf,0.087262
10.0,0.05,linear,0.081508
10.0,0.1,rbf,0.089287
10.0,0.1,linear,0.084255
10.0,0.5,rbf,0.228495
10.0,0.5,linear,0.228495
100.0,0.01,rbf,0.091193
100.0,0.01,linear,0.081341
100.0,0.05,rbf,0.088631
100.0,0.05,linear,0.081551
100.0,0.1,rbf,0.091641
100.0,0.1,linear,0.084257
100.0,0.5,rbf,0.228495
100.0,0.5,linear,0.228495
