filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.079597
32,32,0.1,0.001,5,0.076139
32,32,0.1,0.0005,3,0.079599
32,32,0.1,0.0005,5,0.073713
32,32,0.2,0.001,3,0.080369
32,32,0.2,0.001,5,0.076618
32,32,0.2,0.0005,3,0.077511
32,32,0.2,0.0005,5,0.079064
32,64,0.1,0.001,3,0.076229
32,64,0.1,0.001,5,0.073349
32,64,0.1,0.0005,3,0.080563
32,64,0.1,0.0005,5,0.074905
32,64,0.2,0.001,3,0.07825
32,64,0.2,0.001,5,0.074823
32,64,0.2,0.0005,3,0.077384
32,64,0.2,0.0005,5,0.074601
64,32,0.1,0.001,3,0.078793
64,32,0.1,0.001,5,0.07482
64,32,0.1,0.0005,3,0.079825
64,32,0.1,0.0005,5,0.073976
64,32,0.2,0.001,3,0.083191
64,32,0.2,0.001,5,0.075619
64,32,0.2,0.0005,3,0.078531
64,32,0.2,0.0005,5,0.075451
64,64,0.1,0.001,3,0.077047
64,64,0.1,0.001,5,0.074305
64,64,0.1,0.0005,3,0.078415
64,64,0.1,0.0005,5,0.074513
64,64,0.2,0.001,3,0.078592
64,64,0.2,0.001,5,0.074061
64,64,0.2,0.0005,3,0.077834
64,64,0.2,0.0005,5,0.073808
