hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.093331
32,0.1,0.0005,0.090471
32,0.2,0.001,0.120928
32,0.2,0.0005,0.094124
64,0.1,0.001,0.092592
64,0.1,0.0005,0.090779
64,0.2,0.001,0.103218
64,0.2,0.0005,0.09569
