n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
500,4,0.1,0.7,2,0.085896
100,5,0.05,0.7,2,0.07795
100,3,0.1,0.5,5,0.079847
500,6,0.2,0.6,2,0.086481
200,4,0.2,0.6,10,0.087591
200,4,0.01,0.8,5,0.083191
200,3,0.2,0.5,2,0.084482
100,5,0.2,0.8,5,0.081883
500,6,0.1,0.8,5,0.080665
100,5,0.01,0.7,10,0.110385
500,5,0.05,0.7,10,0.079557
300,6,0.1,0.7,2,0.08315
100,4,0.2,0.6,10,0.084662
500,3,0.1,0.6,5,0.084677
300,4,0.01,0.5,2,0.077237
100,3,0.1,0.7,10,0.078715
100,3,0.1,0.7,2,0.079314
100,4,0.2,0.8,10,0.081291
200,3,0.1,0.7,5,0.081362
200,3,0.2,0.8,5,0.083001
300,5,0.2,0.5,5,0.090399
500,3,0.2,0.6,5,0.086946
100,3,0.1,0.6,2,0.078226
300,6,0.2,0.8,5,0.082259
200,3,0.01,0.8,10,0.084735
500,6,0.05,0.5,5,0.081346
500,4,0.2,0.6,10,0.089602
500,5,0.2,0.8,5,0.083616
500,6,0.2,0.5,2,0.088243
300,3,0.2,0.8,2,0.084804
200,3,0.1,0.8,2,0.08116
300,4,0.1,0.6,2,0.083896
500,3,0.1,0.6,2,0.083401
200,4,0.2,0.7,10,0.085761
100,3,0.01,0.7,2,0.114181
100,6,0.05,0.7,5,0.078989
500,5,0.2,0.7,2,0.084521
500,6,0.1,0.8,2,0.080968
200,6,0.05,0.5,2,0.080236
500,6,0.05,0.5,10,0.082187
100,6,0.05,0.6,2,0.077161
200,3,0.1,0.6,5,0.079085
200,6,0.01,0.7,10,0.081112
500,6,0.2,0.5,10,0.09145
100,4,0.2,0.8,5,0.081895
300,3,0.01,0.6,10,0.078409
100,5,0.01,0.6,2,0.110702
200,6,0.1,0.7,5,0.080295
200,6,0.05,0.6,5,0.078296
500,3,0.2,0.7,2,0.087329
200,4,0.1,0.7,2,0.083674
100,3,0.2,0.7,10,0.083681
300,4,0.2,0.5,10,0.090378
300,6,0.05,0.8,2,0.078672
100,5,0.1,0.7,5,0.079472
300,3,0.01,0.6,2,0.078384
100,4,0.1,0.7,10,0.081041
300,6,0.2,0.5,5,0.085078
200,5,0.05,0.5,2,0.079568
500,4,0.05,0.7,5,0.080496
500,4,0.01,0.8,2,0.077023
200,6,0.1,0.8,5,0.079926
500,3,0.05,0.6,2,0.079893
200,3,0.01,0.6,5,0.084466
100,4,0.05,0.8,10,0.076522
100,3,0.2,0.8,5,0.080163
500,5,0.01,0.6,10,0.076817
200,3,0.2,0.6,10,0.08542
200,5,0.01,0.7,10,0.081755
100,4,0.1,0.8,2,0.079461
500,6,0.1,0.6,5,0.084539
100,5,0.01,0.7,5,0.110443
500,6,0.01,0.5,10,0.077565
500,6,0.01,0.7,10,0.076771
300,4,0.1,0.7,10,0.083928
500,4,0.1,0.5,10,0.087258
200,6,0.2,0.5,5,0.084926
100,6,0.05,0.8,5,0.077236
200,6,0.2,0.7,5,0.080779
200,6,0.1,0.6,2,0.080866
200,3,0.05,0.8,5,0.07791
500,5,0.05,0.5,10,0.082855
200,4,0.1,0.8,2,0.081156
500,4,0.2,0.6,2,0.084534
100,4,0.1,0.5,5,0.083387
500,3,0.2,0.8,10,0.089864
500,6,0.2,0.5,5,0.085184
100,6,0.1,0.7,5,0.078985
300,6,0.05,0.7,2,0.078833
500,6,0.2,0.7,2,0.085174
100,6,0.05,0.8,10,0.078142
300,4,0.2,0.6,10,0.088439
300,3,0.01,0.6,5,0.078397
200,4,0.2,0.5,2,0.0901
500,4,0.1,0.7,5,0.084271
300,6,0.2,0.7,2,0.085088
200,3,0.1,0.7,10,0.080876
200,5,0.2,0.7,10,0.085373
100,4,0.01,0.8,2,0.112525
200,3,0.2,0.7,2,0.082938
500,6,0.1,0.7,10,0.083697
200,5,0.1,0.8,10,0.07915
300,3,0.1,0.5,10,0.080836
200,4,0.1,0.8,5,0.080382
100,4,0.05,0.7,5,0.077778
