n_estimators,max_depth,learning_rate,min_samples_split,val_rmse
100,3,0.01,2,0.113279
100,3,0.01,5,0.113279
100,3,0.01,10,0.113279
100,3,0.05,2,0.082234
100,3,0.05,5,0.08228
100,3,0.05,10,0.082256
100,3,0.1,2,0.082784
100,3,0.1,5,0.083254
100,3,0.1,10,0.082822
100,3,0.2,2,0.084822
100,3,0.2,5,0.085865
100,3,0.2,10,0.085288
100,4,0.01,2,0.112375
100,4,0.01,5,0.112375
100,4,0.01,10,0.112375
100,4,0.05,2,0.081989
100,4,0.05,5,0.08176
100,4,0.05,10,0.081936
100,4,0.1,2,0.083909
100,4,0.1,5,0.083595
100,4,0.1,10,0.083096
100,4,0.2,2,0.087559
100,4,0.2,5,0.085745
100,4,0.2,10,0.084676
100,5,0.01,2,0.111043
100,5,0.01,5,0.110947
100,5,0.01,10,0.111099
100,5,0.05,2,0.082996
100,5,0.05,5,0.083246
100,5,0.05,10,0.082499
100,5,0.1,2,0.084042
100,5,0.1,5,0.083536
100,5,0.1,10,0.085865
100,5,0.2,2,0.084352
100,5,0.2,5,0.084994
100,5,0.2,10,0.085206
100,6,0.01,2,0.111162
100,6,0.01,5,0.111143
100,6,0.01,10,0.111322
100,6,0.05,2,0.081384
100,6,0.05,5,0.081531
100,6,0.05,10,0.081273
100,6,0.1,2,0.080614
100,6,0.1,5,0.083361
100,6,0.1,10,0.081816
100,6,0.2,2,0.087146
100,6,0.2,5,0.084488
100,6,0.2,10,0.082406
200,3,0.01,2,0.08771
200,3,0.01,5,0.08771
200,3,0.01,10,0.08771
200,3,0.05,2,0.082054
200,3,0.05,5,0.082391
200,3,0.05,10,0.082461
200,3,0.1,2,0.082721
200,3,0.1,5,0.083431
200,3,0.1,10,0.08399
200,3,0.2,2,0.085429
200,3,0.2,5,0.086592
200,3,0.2,10,0.085934
200,4,0.01,2,0.086752
200,4,0.01,5,0.086752
200,4,0.01,10,0.086752
200,4,0.05,2,0.083928
200,4,0.05,5,0.083317
200,4,0.05,10,0.083571
200,4,0.1,2,0.084763
200,4,0.1,5,0.084511
200,4,0.1,10,0.084309
200,4,0.2,2,0.0884
200,4,0.2,5,0.087622
200,4,0.2,10,0.085611
200,5,0.01,2,0.086103
200,5,0.01,5,0.086114
200,5,0.01,10,0.086237
200,5,0.05,2,0.083845
200,5,0.05,5,0.083693
200,5,0.05,10,0.083105
200,5,0.1,2,0.084915
200,5,0.1,5,0.083929
200,5,0.1,10,0.087458
200,5,0.2,2,0.085161
200,5,0.2,5,0.085533
200,5,0.2,10,0.086615
200,6,0.01,2,0.086096
200,6,0.01,5,0.086185
200,6,0.01,10,0.086042
200,6,0.05,2,0.082434
200,6,0.05,5,0.082093
200,6,0.05,10,0.081812
200,6,0.1,2,0.081564
200,6,0.1,5,0.084266
200,6,0.1,10,0.082013
200,6,0.2,2,0.086981
200,6,0.2,5,0.08496
200,6,0.2,10,0.082082
300,3,0.01,2,0.083411
300,3,0.01,5,0.083411
300,3,0.01,10,0.08341
300,3,0.05,2,0.082487
300,3,0.05,5,0.082825
300,3,0.05,10,0.082884
300,3,0.1,2,0.083688
300,3,0.1,5,0.083991
300,3,0.1,10,0.08388
300,3,0.2,2,0.085601
300,3,0.2,5,0.087719
300,3,0.2,10,0.086176
300,4,0.01,2,0.082529
300,4,0.01,5,0.082527
300,4,0.01,10,0.082585
300,4,0.05,2,0.084704
300,4,0.05,5,0.084014
300,4,0.05,10,0.084001
300,4,0.1,2,0.08534
300,4,0.1,5,0.085406
300,4,0.1,10,0.084761
300,4,0.2,2,0.089821
300,4,0.2,5,0.088898
300,4,0.2,10,0.087591
300,5,0.01,2,0.081855
300,5,0.01,5,0.082049
300,5,0.01,10,0.081974
300,5,0.05,2,0.084261
300,5,0.05,5,0.084527
300,5,0.05,10,0.083632
300,5,0.1,2,0.085502
300,5,0.1,5,0.084736
300,5,0.1,10,0.087945
300,5,0.2,2,0.086203
300,5,0.2,5,0.085926
300,5,0.2,10,0.08704
300,6,0.01,2,0.081444
300,6,0.01,5,0.0816
300,6,0.01,10,0.081756
300,6,0.05,2,0.08277
300,6,0.05,5,0.082395
300,6,0.05,10,0.082216
300,6,0.1,2,0.08165
300,6,0.1,5,0.084247
300,6,0.1,10,0.081864
300,6,0.2,2,0.087004
300,6,0.2,5,0.085138
300,6,0.2,10,0.082122
500,3,0.01,2,0.082174
500,3,0.01,5,0.082197
500,3,0.01,10,0.082135
500,3,0.05,2,0.082999
500,3,0.05,5,0.083231
500,3,0.05,10,0.083685
500,3,0.1,2,0.08493
500,3,0.1,5,0.084741
500,3,0.1,10,0.085459
500,3,0.2,2,0.086534
500,3,0.2,5,0.088492
500,3,0.2,10,0.086764
500,4,0.01,2,0.082204
500,4,0.01,5,0.082258
500,4,0.01,10,0.082407
500,4,0.05,2,0.084675
500,4,0.05,5,0.084875
500,4,0.05,10,0.0846
500,4,0.1,2,0.086347
500,4,0.1,5,0.087209
500,4,0.1,10,0.085197
500,4,0.2,2,0.090727
500,4,0.2,5,0.089478
500,4,0.2,10,0.088309
500,5,0.01,2,0.082284
500,5,0.01,5,0.082503
500,5,0.01,10,0.082329
500,5,0.05,2,0.084712
500,5,0.05,5,0.084993
500,5,0.05,10,0.083564
500,5,0.1,2,0.086002
500,5,0.1,5,0.085529
500,5,0.1,10,0.088681
500,5,0.2,2,0.08626
500,5,0.2,5,0.086255
500,5,0.2,10,0.087021
500,6,0.01,2,0.081247
500,6,0.01,5,0.081254
500,6,0.01,10,0.081702
500,6,0.05,2,0.083367
500,6,0.05,5,0.082437
500,6,0.05,10,0.082422
500,6,0.1,2,0.081704
500,6,0.1,5,0.084509
500,6,0.1,10,0.082146
500,6,0.2,2,0.086982
500,6,0.2,5,0.085204
500,6,0.2,10,0.082142
