C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.086634
0.1,0.01,linear,0.086787
0.1,0.05,rbf,0.086632
0.1,0.05,linear,0.086479
0.1,0.1,rbf,0.085643
0.1,0.1,linear,0.085879
0.1,0.5,rbf,0.196709
0.1,0.5,linear,0.196709
1.0,0.01,rbf,0.087
1.0,0.01,linear,0.087196
1.0,0.05,rbf,0.087161
1.0,0.05,linear,0.086637
1.0,0.1,rbf,0.086201
1.0,0.1,linear,0.086084
1.0,0.5,rbf,0.196709
1.0,0.5,linear,0.196709
10.0,0.01,rbf,0.088452
10.0,0.01,linear,0.087259
10.0,0.05,rbf,0.090767
10.0,0.05,linear,0.086753
10.0,0.1,rbf,0.088569
10.0,0.1,linear,0.086058
10.0,0.5,rbf,0.196709
10.0,0.5,linear,0.196709
100.0,0.01,rbf,0.098011
100.0,0.01,linear,0.087278
100.0,0.05,rbf,0.099443
100.0,0.05,linear,0.086732
100.0,0.1,rbf,0.098304
100.0,0.1,linear,0.086088
100.0,0.5,rbf,0.196709
100.0,0.5,linear,0.196709
