n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,31,0.01,0.6,0.6,20,0.093784
500,127,0.05,0.8,0.6,30,0.085971
300,31,0.01,0.8,1.0,10,0.083313
500,31,0.05,0.6,0.6,20,0.084886
100,31,0.05,0.8,0.8,10,0.08357
100,127,0.01,0.8,0.8,20,0.094064
300,31,0.2,0.8,0.8,30,0.085467
200,127,0.2,0.6,1.0,30,0.088311
200,63,0.1,0.6,0.8,20,0.085963
100,63,0.01,0.8,0.6,20,0.093472
200,63,0.1,0.6,1.0,20,0.087365
100,63,0.1,0.8,0.8,20,0.085417
500,31,0.01,1.0,0.8,30,0.082756
100,63,0.05,0.6,1.0,10,0.084888
500,63,0.01,0.8,0.6,20,0.082475
100,127,0.05,0.8,0.8,30,0.083053
100,127,0.05,1.0,0.6,20,0.083398
500,31,0.01,0.6,0.6,20,0.082166
500,63,0.05,1.0,0.6,10,0.085504
200,31,0.01,0.8,0.8,30,0.082675
500,63,0.01,0.6,0.6,10,0.083113
500,127,0.1,0.6,0.6,10,0.084677
300,127,0.01,0.6,0.6,30,0.081187
200,63,0.01,0.6,0.6,20,0.0824
200,31,0.2,0.6,1.0,10,0.087638
200,127,0.2,0.8,1.0,30,0.088311
300,63,0.01,0.6,1.0,30,0.0834
300,127,0.05,0.6,1.0,10,0.087924
500,31,0.2,0.6,1.0,10,0.08781
300,127,0.1,0.6,1.0,10,0.087555
100,127,0.05,0.6,0.8,20,0.084133
200,63,0.1,1.0,0.8,10,0.083324
200,63,0.05,0.6,0.6,20,0.083762
100,63,0.01,1.0,0.8,30,0.09462
300,31,0.05,0.8,1.0,30,0.085441
100,31,0.05,0.8,1.0,20,0.084303
500,127,0.01,0.8,1.0,20,0.085411
500,63,0.1,0.6,0.6,10,0.08393
200,63,0.05,0.8,0.8,10,0.086061
500,127,0.01,0.8,1.0,30,0.084431
100,31,0.01,0.8,0.8,30,0.094554
100,63,0.05,0.8,0.6,20,0.083066
500,127,0.2,1.0,0.8,30,0.085948
100,63,0.01,0.8,0.8,10,0.094632
200,63,0.05,0.8,0.6,10,0.085032
100,63,0.05,0.6,0.8,10,0.084759
100,31,0.1,0.8,0.6,20,0.083439
300,31,0.05,0.6,0.6,20,0.083875
500,31,0.1,1.0,1.0,30,0.087858
200,63,0.1,0.6,0.6,20,0.085389
200,127,0.05,0.6,0.8,10,0.086219
500,31,0.01,1.0,0.8,20,0.082746
200,63,0.01,0.6,1.0,10,0.084501
100,127,0.1,0.6,0.6,10,0.08465
500,63,0.2,0.6,1.0,30,0.088454
500,63,0.2,1.0,0.6,20,0.08665
300,127,0.2,1.0,0.8,30,0.085878
200,63,0.1,0.8,0.6,30,0.085346
300,63,0.1,1.0,0.8,30,0.086122
200,31,0.1,0.8,0.6,30,0.086156
100,63,0.2,0.6,0.8,20,0.086061
300,127,0.01,1.0,0.6,10,0.082035
300,31,0.1,1.0,0.8,30,0.087185
300,127,0.01,0.6,0.8,10,0.08352
300,63,0.2,0.6,0.8,20,0.086167
300,127,0.2,0.8,0.6,30,0.087037
100,63,0.01,0.6,0.6,30,0.093866
100,63,0.2,0.8,0.8,10,0.087431
100,63,0.01,0.8,1.0,20,0.09498
300,63,0.1,0.8,0.8,30,0.086122
300,31,0.05,1.0,0.6,20,0.083875
100,127,0.01,0.6,1.0,20,0.094681
200,63,0.1,1.0,0.8,30,0.085759
200,31,0.1,0.8,0.8,30,0.086191
300,127,0.1,0.6,0.6,10,0.084657
100,127,0.1,0.8,1.0,30,0.085346
200,31,0.05,1.0,1.0,10,0.086562
300,127,0.2,0.6,0.6,30,0.087037
200,63,0.1,1.0,1.0,20,0.087365
100,63,0.05,1.0,0.6,20,0.083066
300,127,0.05,0.8,1.0,20,0.086142
500,63,0.05,1.0,0.6,30,0.085971
100,63,0.2,0.8,0.6,30,0.086101
100,31,0.2,1.0,0.8,20,0.087782
500,63,0.05,0.6,0.6,10,0.085504
100,31,0.05,0.6,0.8,10,0.08357
200,63,0.05,1.0,1.0,20,0.08647
200,31,0.01,0.8,1.0,20,0.08392
300,63,0.1,1.0,0.8,20,0.086196
500,31,0.01,0.8,0.8,20,0.082746
200,63,0.01,0.6,0.8,30,0.083087
200,31,0.01,0.8,0.8,20,0.083046
300,63,0.01,1.0,0.6,30,0.081187
100,31,0.01,0.6,0.8,20,0.094754
300,63,0.05,0.8,1.0,20,0.086839
200,127,0.01,0.6,0.8,10,0.083895
300,127,0.1,0.8,0.8,20,0.085864
200,127,0.05,0.8,1.0,30,0.085782
500,63,0.1,0.6,0.8,20,0.086315
500,31,0.01,1.0,1.0,10,0.084197
100,127,0.2,1.0,0.6,30,0.086101
200,31,0.1,0.8,0.6,20,0.084613
200,127,0.1,0.8,0.8,20,0.085659
200,63,0.01,0.8,0.8,20,0.083467
100,63,0.01,0.8,0.6,30,0.093866
500,63,0.2,1.0,1.0,20,0.088078
500,63,0.05,0.6,0.8,10,0.086449
200,127,0.2,1.0,0.8,10,0.085738
100,63,0.01,0.8,0.6,10,0.09389
100,31,0.2,1.0,0.8,10,0.086161
500,127,0.01,0.6,1.0,30,0.084431
500,31,0.01,0.6,0.8,20,0.082746
