station_id,station_name,latitude,longitude,rows,start_date,end_date
60360,Annaba,36.8333,7.8167,731,2024-07-21,2026-07-21
60390,Dar-El-Beida,36.7167,3.25,731,2024-07-21,2026-07-21
60419,Constantine,36.2833,6.6167,731,2024-07-21,2026-07-21
60475,Tebessa,35.4833,8.1333,731,2024-07-21,2026-07-21
60490,Oran / Es Senia,35.6333,-0.6,731,2024-07-21,2026-07-21
60535,Djelfa,34.6833,3.25,731,2024-07-21,2026-07-21
60566,Ghardaia,32.3833,3.8167,731,2024-07-21,2026-07-21
60571,Bechar,31.6167,-2.2333,731,2024-07-21,2026-07-21
60590,El Golea,30.5667,2.8667,731,2024-07-21,2026-07-21
