time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1996-04-14,17.7,13.3,,,,,,,,
1996-04-23,18.0,16.9,19.2,,,,,,,
1996-06-16,22.6,18.5,,,,,,,,
2002-09-19,24.6,21.5,,,,,,,,
2002-09-20,24.9,22.4,26.7,,,,,,,
2002-09-21,25.4,23.4,27.8,,,,,,,
2002-09-22,24.8,20.6,26.8,,,,,,,
2002-09-23,23.8,21.1,26.0,,,,,,,
2002-09-25,21.8,17.0,,,,,,,,
2002-09-27,21.3,14.6,,,,,,,,
2002-09-28,21.0,16.2,23.9,,,,,,,
2002-09-29,21.3,15.4,27.0,,,,,,,
2002-09-30,20.9,15.2,23.0,,,,,,,
2002-10-01,20.8,15.6,,,,,,,,
2002-10-06,20.4,14.7,26.8,0.0,,,,,,
2002-10-07,20.6,16.9,23.5,,,,,,,
2002-10-10,20.2,18.2,,0.0,,,,,,
2002-10-12,20.5,12.6,22.9,,,,,,,
2002-10-14,21.0,16.9,23.5,,,,,,,
2002-10-18,20.5,17.6,,1.0,,,,,,
2002-10-19,20.1,16.3,22.3,0.0,,,,,,
2002-10-24,19.9,17.1,23.7,,,,,,,
2002-10-25,19.9,14.4,25.0,,,,,,,
2002-10-27,19.9,15.1,23.4,,,,,,,
2002-10-28,20.2,14.7,21.2,,,,,,,
2002-10-29,18.6,13.5,21.8,,,,,,,
2002-10-30,20.2,15.1,24.0,,,,,,,
2002-10-31,20.4,17.3,22.9,,,,,,,
2002-11-01,18.3,9.2,,3.0,,,,,,
2002-11-02,18.7,15.2,21.2,1.0,,,,,,
2002-11-03,20.6,15.1,24.0,0.0,,,,,,
2002-11-05,15.9,14.0,18.2,,,,,,,
2002-11-06,16.5,14.0,18.8,,,,,,,
2002-11-07,15.3,12.7,17.2,0.5,,,,,,
2002-11-09,17.9,11.8,20.1,6.1,,,,,,
2002-11-11,19.6,15.9,24.2,,,,,,,
2002-11-12,18.2,14.6,20.5,,,,,,,
2002-11-13,18.8,14.6,22.1,,,,,,,
2002-11-16,17.3,12.6,20.4,24.9,,,,,,
2002-11-17,15.2,13.0,17.3,0.0,,,,,,
2002-11-18,14.8,11.0,17.8,7.9,,,,,,
2002-11-20,16.2,11.4,20.4,,,,,,,
2002-11-23,20.0,13.6,24.7,,,,,,,
2002-11-24,19.7,17.0,24.5,,,,,,,
2002-11-28,19.2,13.3,23.0,,,,,,,
2002-11-29,17.0,15.8,,2.0,,,,,,
