time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2003-11-20,14.1,12.0,18.4,2.0,,,,,,
2003-11-22,14.3,6.7,19.0,1.0,,,,,,
2003-11-27,9.2,3.7,14.4,,,,,,,
2003-11-28,10.5,3.8,15.5,,,,,,,
2003-11-30,11.6,3.5,17.6,,,,,,,
2003-12-01,11.5,4.0,16.0,,,,,,,
2004-01-03,7.7,,11.2,0.3,,,,,,
2004-01-04,6.7,0.0,10.8,0.5,,,,,,
2004-01-05,5.1,-2.4,10.7,0.0,,,,,,
2004-01-06,5.8,-1.5,12.0,0.0,,,,,,
2004-01-07,5.1,-1.8,10.3,0.0,,,,,,
2004-01-08,5.8,-2.5,13.0,0.0,,,,,,
2004-01-09,9.7,0.2,16.1,0.0,,,,,,
2004-01-10,11.9,2.7,18.6,0.0,,,,,,
2004-01-11,11.9,4.6,16.3,0.0,,,,,,
2004-01-12,11.4,4.4,19.5,0.0,,,,,,
2004-01-13,10.8,1.5,17.0,0.0,,,,,,
2004-01-15,9.2,2.5,15.9,0.0,,,,,,
2004-01-17,10.3,3.5,14.7,0.0,,,,,,
2004-01-23,9.4,0.6,12.2,0.0,,,,,,
2004-01-24,13.6,7.1,17.0,0.0,,,,,,
2004-01-25,12.0,6.0,17.4,0.0,,,,,,
2004-01-28,11.2,6.1,13.1,0.0,,,,,,
2004-02-03,12.7,4.7,19.0,0.0,,,,,,
2004-02-04,13.7,5.0,19.8,0.0,,,,,,
2004-02-05,11.7,2.1,18.4,0.0,,,,,,
2004-02-06,12.2,1.9,20.5,0.0,,,,,,
2004-02-07,15.3,,20.2,,,,,,,
2004-02-08,12.4,,19.9,0.0,,,,,,
2004-02-09,11.7,6.8,17.0,0.0,,,,,,
2004-02-10,10.7,2.9,16.5,0.0,,,,,,
2004-02-11,12.8,,16.7,,,,,,,
2004-02-14,10.1,1.0,18.1,0.0,,,,,,
2004-02-15,11.3,3.2,16.7,0.0,,,,,,
2004-02-16,13.3,,16.7,,,,,,,
2004-02-17,11.7,2.8,17.5,0.0,,,,,,
2004-02-18,10.5,2.1,14.6,0.0,,,,,,
2004-02-19,13.2,5.0,16.4,0.0,,,,,,
2004-02-20,17.6,10.5,22.2,0.0,,,,,,
2004-02-21,22.3,20.3,24.2,1.0,,,,,,
2004-02-22,15.2,12.2,18.0,0.0,,,,,,
2004-02-23,13.8,3.1,20.9,0.0,,,,,,
2004-02-24,17.4,8.5,23.1,0.0,,,,,,
2004-02-25,17.7,11.5,20.9,0.0,,,,,,
2004-02-26,13.9,8.3,17.9,0.5,,,,,,
2004-02-28,10.1,,12.6,,,,,,,
2004-02-29,8.2,-1.1,13.7,0.0,,,,,,
2004-03-01,8.1,2.0,12.7,0.0,,,,,,
2004-03-02,7.4,2.5,11.0,0.0,,,,,,
