station_id,station_name,latitude,longitude,TAVG,TMIN,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
60360,Annaba,36.8333,7.8167,2016-03-20,2017-12-14,2018-07-21,,,,2017-12-14,,2018-05-29,
60390,Dar-El-Beida,36.7167,3.25,2017-10-22,2018-07-21,2018-07-21,,,,2017-10-22,,2018-05-29,
60419,Constantine,36.2833,6.6167,2003-02-27,2018-06-25,2018-07-21,,,,2017-12-14,,2018-05-29,
60475,Tebessa,35.4833,8.1333,2015-01-19,2018-05-23,2018-07-21,,,,2018-07-20,,2018-05-29,
60490,Oran / Es Senia,35.6333,-0.6,2017-12-14,2018-07-21,2018-07-21,,,,2017-12-14,,2018-05-29,
60535,Djelfa,34.6833,3.25,2018-07-21,2018-07-21,2018-07-21,,,,2018-07-21,,2018-07-21,
60566,Ghardaia,32.3833,3.8167,2018-07-21,2018-07-21,2018-07-21,,,,2018-07-21,,2018-07-21,
60571,Bechar,31.6167,-2.2333,2018-04-03,2018-07-21,2018-07-21,,,,2018-07-04,,2018-07-21,
60590,El Golea,30.5667,2.8667,2017-02-03,2018-02-27,2018-07-21,,,,2018-07-04,,2018-07-20,
