station,id,zone,Persistence_RMSE,Persistence_MAE,Persistence_R2,Persistence_ACC,Persistence_train_time_s,Persistence_infer_time_s,Climatology_RMSE,Climatology_MAE,Climatology_R2,Climatology_ACC,Climatology_train_time_s,Climatology_infer_time_s,GFS_RMSE,GFS_MAE,GFS_R2,GFS_ACC,GFS_train_time_s,GFS_infer_time_s,ARIMA_RMSE,ARIMA_MAE,ARIMA_R2,ARIMA_ACC,ARIMA_train_time_s,ARIMA_infer_time_s,SARIMA_RMSE,SARIMA_MAE,SARIMA_R2,SARIMA_ACC,SARIMA_train_time_s,SARIMA_infer_time_s,ANN_RMSE,ANN_RMSE_std,ANN_MAE,ANN_MAE_std,ANN_R2,ANN_R2_std,ANN_train_time_s,ANN_infer_time_s,SVR_RMSE,SVR_MAE,SVR_R2,SVR_train_time_s,SVR_infer_time_s,LSTM_RMSE,LSTM_RMSE_std,LSTM_MAE,LSTM_MAE_std,LSTM_R2,LSTM_R2_std,LSTM_train_time_s,LSTM_infer_time_s,CNN-LSTM_RMSE,CNN-LSTM_RMSE_std,CNN-LSTM_MAE,CNN-LSTM_MAE_std,CNN-LSTM_R2,CNN-LSTM_R2_std,CNN-LSTM_train_time_s,CNN-LSTM_infer_time_s,ANN_ACC,SVR_ACC,LSTM_ACC,CNN-LSTM_ACC,RMSE_SS_vs_GFS
Annaba,60360,Mediterranean,2.2234,1.7565,0.836,0.5221,0.0,0.0027,2.3431,1.8896,0.8178,0.0284,0.1194,0.0313,3.0479,2.595,0.6917,0.6504,0.0,0.0019,2.9435,2.3372,0.7125,-0.023,9.2988,0.0013,2.9253,2.3265,0.716,-0.0296,44.8421,0.0019,2.1642,0.097339,1.7383,0.070168,0.8443,0.014221,8.5633,0.1937,2.0145,1.6049,0.8653,0.0582,0.0397,2.2535,0.141607,1.8192,0.127417,0.831,0.020924,19.4964,1.0205,2.0325,0.015177,1.6244,0.016152,0.8629,0.002031,14.8659,0.6683,0.4772,0.5086,0.4898,0.5055,0.3331
Dar El Beida,60390,Mediterranean,2.7375,2.1569,0.799,0.6152,0.0,0.0032,3.2787,2.648,0.7117,-0.0555,0.1611,0.0306,5.4047,4.6884,0.2166,0.498,0.0,0.0021,4.0685,3.2334,0.5561,-0.012,10.6352,0.0016,4.0624,3.2302,0.5574,-0.0096,53.9902,0.0019,2.659,0.055195,2.1122,0.038914,0.8103,0.007859,8.6183,0.245,2.5882,2.0778,0.8203,0.0379,0.0075,2.5775,0.035246,2.0627,0.022714,0.8218,0.004906,27.2165,0.9925,2.5541,0.009137,2.0367,0.009197,0.825,0.001252,18.4167,0.6575,0.5829,0.5774,0.5994,0.6073,0.5274
Oran/Es Senia,60490,Mediterranean,2.4957,1.9773,0.8396,0.5708,0.0,0.0028,2.7985,2.2636,0.7983,0.0091,0.1397,0.038,4.079,3.386,0.5715,0.5397,0.0,0.0023,3.7935,2.9645,0.6293,0.0183,12.4147,0.001,3.808,2.9752,0.6265,0.0166,33.9234,0.0014,2.4812,0.103251,2.0014,0.085912,0.8412,0.013051,8.2119,0.2571,2.2855,1.83,0.8655,0.0781,0.0102,2.3325,0.05444,1.8733,0.050714,0.8598,0.006603,26.9674,0.9729,2.3046,0.038445,1.8451,0.032028,0.8632,0.004629,10.8189,0.655,0.5422,0.5642,0.558,0.5656,0.435
Constantine,60419,Semi-arid,2.2873,1.8123,0.8647,0.6271,0.0,0.0018,2.7626,2.1974,0.8026,-0.1016,0.0722,0.0134,3.2394,2.7329,0.7286,0.6822,0.0,0.001,3.5266,2.8271,0.6783,0.0106,19.9348,0.0008,3.4606,2.7718,0.6903,0.0131,25.4622,0.0009,2.2428,0.070955,1.7985,0.059937,0.8698,0.008199,4.996,0.1912,2.1479,1.72,0.8807,0.0205,0.0119,2.3009,0.185103,1.8513,0.156418,0.8624,0.022455,14.3997,0.5118,2.1338,0.006653,1.6986,0.006816,0.8823,0.000744,10.55,0.5317,0.6152,0.613,0.6288,0.6245,0.3413
Tebessa,60475,Semi-arid,2.8622,2.2156,0.8186,0.5807,0.0,0.002,3.3235,2.6095,0.7554,-0.089,0.0815,0.0129,2.8782,2.3488,0.8166,0.6175,0.0,0.001,3.7439,2.9753,0.6896,0.1131,26.5959,0.0008,3.7444,2.976,0.6895,0.112,19.8715,0.0008,2.7565,0.093967,2.1769,0.076937,0.8316,0.011641,3.9641,0.1861,2.6146,2.0598,0.8486,0.2733,0.0024,2.6486,0.049927,2.0938,0.046038,0.8446,0.005897,18.4171,0.6218,2.6241,0.011951,2.0597,0.011278,0.8475,0.001389,13.0272,0.5841,0.56,0.5813,0.5861,0.5852,0.0883
Djelfa,60535,Semi-arid,2.1834,1.7036,0.9093,0.6763,0.0,0.0017,2.8338,2.3099,0.8473,-0.0721,0.0778,0.0147,2.5237,2.0762,0.8789,0.6884,0.0,0.001,3.8301,2.9976,0.721,0.0796,5.9085,0.0008,3.7893,2.9689,0.7269,0.0785,23.7107,0.0009,2.378,0.088327,1.9194,0.085379,0.8923,0.008039,4.8058,0.1713,2.0775,1.6306,0.9179,0.0423,0.0062,2.131,0.062985,1.6852,0.064016,0.9136,0.005203,17.8559,0.5834,2.0887,0.010191,1.641,0.008919,0.917,0.000785,24.8055,0.9865,0.6378,0.661,0.6572,0.6626,0.1724
Ghardaia,60566,Saharan,2.059,1.5773,0.9321,0.6878,0.0,0.0059,2.6195,2.0686,0.8902,0.0123,0.2325,0.054,1.7881,1.4106,0.9488,0.8309,0.0,0.0026,3.7857,3.033,0.7706,0.1538,17.5628,0.0024,3.7622,3.012,0.7735,0.1558,74.3304,0.0037,2.24,0.079303,1.7868,0.078584,0.9196,0.005737,11.8031,0.4042,1.9626,1.5536,0.9384,0.0852,0.0054,2.1053,0.189083,1.6711,0.152297,0.9286,0.013447,75.347,1.3442,1.973,0.009864,1.5624,0.00899,0.9377,0.00063,14.5262,0.5241,0.6528,0.6805,0.6772,0.6784,-0.1034
Bechar,60571,Saharan,2.4569,1.8668,0.9239,0.61,0.0,0.0025,2.8109,2.262,0.9003,0.025,0.0743,0.0139,2.8043,2.3582,0.9008,0.6582,0.0,0.001,4.6782,3.6891,0.7239,0.1046,6.817,0.0009,4.7135,3.719,0.7198,0.1034,15.9197,0.0008,2.6485,0.231289,2.1008,0.202318,0.911,0.01559,8.7664,0.21,2.3139,1.7871,0.9325,0.0734,0.0509,2.413,0.06016,1.8896,0.056388,0.9265,0.003642,42.8848,1.142,2.3431,0.039857,1.8262,0.041563,0.9307,0.002378,28.0556,0.6066,0.554,0.5993,0.6014,0.606,0.1645
El Golea,60590,Saharan,3.1963,2.4609,0.8797,0.534,0.0,0.0012,3.3646,2.7161,0.8667,0.0612,0.0674,0.0124,4.4178,3.6032,0.7702,0.5584,0.0,0.0007,5.125,4.1517,0.6907,0.0768,4.8617,0.0006,5.1021,4.132,0.6935,0.0759,20.0871,0.0006,3.2404,0.135892,2.5339,0.110958,0.8762,0.010402,3.5461,0.1007,2.9692,2.326,0.8962,0.0603,0.0023,3.355,0.293506,2.6402,0.250349,0.8666,0.022739,12.2757,0.3738,2.9807,0.016795,2.3399,0.018787,0.8954,0.001194,19.3779,0.6242,0.4611,0.5011,0.502,0.508,0.3253
