station,id,zone,Persistence_RMSE,Persistence_MAE,Persistence_R2,Persistence_ACC,Persistence_train_time_s,Persistence_infer_time_s,Climatology_RMSE,Climatology_MAE,Climatology_R2,Climatology_ACC,Climatology_train_time_s,Climatology_infer_time_s,GFS_RMSE,GFS_MAE,GFS_R2,GFS_ACC,GFS_train_time_s,GFS_infer_time_s,ARIMA_RMSE,ARIMA_MAE,ARIMA_R2,ARIMA_ACC,ARIMA_train_time_s,ARIMA_infer_time_s,SARIMA_RMSE,SARIMA_MAE,SARIMA_R2,SARIMA_ACC,SARIMA_train_time_s,SARIMA_infer_time_s,ANN_RMSE,ANN_RMSE_std,ANN_MAE,ANN_MAE_std,ANN_R2,ANN_R2_std,ANN_train_time_s,ANN_infer_time_s,SVR_RMSE,SVR_MAE,SVR_R2,SVR_train_time_s,SVR_infer_time_s,LSTM_RMSE,LSTM_RMSE_std,LSTM_MAE,LSTM_MAE_std,LSTM_R2,LSTM_R2_std,LSTM_train_time_s,LSTM_infer_time_s,CNN-LSTM_RMSE,CNN-LSTM_RMSE_std,CNN-LSTM_MAE,CNN-LSTM_MAE_std,CNN-LSTM_R2,CNN-LSTM_R2_std,CNN-LSTM_train_time_s,CNN-LSTM_infer_time_s,ANN_ACC,SVR_ACC,LSTM_ACC,CNN-LSTM_ACC,RMSE_SS_vs_GFS
Annaba,60360,Mediterranean,3.2595,2.4227,0.7592,0.4964,0.0,0.0016,3.3882,2.5449,0.7399,-0.0242,0.0753,0.0114,2.242,1.8677,0.8861,0.8903,0.0,0.0009,4.4273,3.4633,0.5558,-0.0703,55.8542,0.0026,4.3921,3.4235,0.5629,-0.0702,60.115,0.0037,3.0048,0.040005,2.2223,0.02861,0.7954,0.005445,11.9125,0.3915,2.9868,2.2065,0.7978,0.1924,0.1419,3.0567,0.060059,2.2569,0.052639,0.7882,0.008315,68.9816,1.2171,2.9212,0.012729,2.1844,0.020175,0.8066,0.001696,20.934,0.7229,0.47,0.4416,0.4528,0.4859,-0.3029
Dar El Beida,60390,Mediterranean,2.8659,2.1265,0.8111,0.593,0.0,0.002,3.2437,2.5321,0.7581,-0.0608,0.1056,0.0192,2.6373,2.1754,0.8401,0.8449,0.0,0.0013,4.7353,3.6012,0.4844,-0.0197,34.0041,0.001,4.7923,3.6563,0.4719,-0.0232,25.8867,0.0015,2.8028,0.091675,2.097,0.069694,0.8192,0.011864,7.6328,0.2059,2.6905,2.015,0.8336,1.0443,0.0059,2.7279,0.030823,2.0548,0.027284,0.8289,0.003863,65.5593,1.2847,2.6818,0.012557,2.0326,0.018473,0.8346,0.001568,18.5818,0.6731,0.5271,0.5602,0.5496,0.5554,-0.0169
Oran/Es Senia,60490,Mediterranean,2.7433,2.1029,0.8026,0.5734,0.0,0.002,3.0225,2.2703,0.7603,-0.0484,0.1085,0.0228,1.7579,1.3092,0.9189,0.8381,0.0,0.0011,4.474,3.374,0.4749,0.0861,28.1939,0.0009,4.4944,3.3883,0.4701,0.0801,18.8029,0.0012,2.7212,0.104554,2.0919,0.099301,0.8055,0.014862,11.161,0.2094,2.5344,1.9525,0.8315,0.0961,0.0561,2.6816,0.128176,2.0657,0.112142,0.811,0.01807,41.366,1.2769,2.5268,0.007674,1.9514,0.013678,0.8325,0.001013,17.6757,0.6536,0.5159,0.5399,0.5542,0.5566,-0.4374
Constantine,60419,Semi-arid,3.1789,2.4636,0.8777,0.666,0.0,0.0027,3.9677,3.2241,0.8094,-0.1015,0.1441,0.0295,1.1976,0.8886,0.9826,0.9535,0.0,0.0019,5.846,4.6468,0.5863,-0.0087,9.1904,0.0017,5.8553,4.6541,0.585,-0.0079,27.3759,0.0018,3.2272,0.103828,2.6233,0.146663,0.8738,0.008051,7.4863,0.2139,3.0278,2.3469,0.889,0.1382,0.0165,3.1779,0.127834,2.5521,0.17613,0.8776,0.009919,24.3355,1.0019,3.0361,0.013689,2.3508,0.013758,0.8884,0.000995,16.4663,0.678,0.6266,0.6488,0.6467,0.6496,-1.5352
Tebessa,60475,Semi-arid,3.0897,2.2824,0.8818,0.6877,0.0,0.0029,4.0049,3.2821,0.8014,-0.1432,0.1692,0.0318,2.9071,2.701,0.8953,0.9481,0.0,0.0021,5.9057,4.7211,0.5681,0.0107,24.7505,0.0011,5.9339,4.7413,0.564,0.0092,39.2819,0.002,3.1656,0.107702,2.5953,0.134181,0.8758,0.008508,10.707,0.23,2.9546,2.1387,0.8919,0.1514,0.0196,3.1582,0.164725,2.5538,0.225811,0.8762,0.012802,23.8705,1.126,2.9352,0.008856,2.1858,0.027175,0.8933,0.000636,17.2754,0.6517,0.6602,0.6829,0.6774,0.6802,-0.0097
Djelfa,60535,Semi-arid,2.6009,1.965,0.9207,0.7103,0.0,0.0011,3.4879,2.8087,0.8574,-0.0784,0.1281,0.031,1.28,0.9641,0.9808,0.9307,0.0,0.0025,5.6713,4.3151,0.623,0.026,8.7979,0.0011,5.6717,4.311,0.6229,0.0283,44.276,0.0017,2.8945,0.218732,2.3957,0.235861,0.9013,0.015062,10.7871,0.2408,2.5259,1.8943,0.9252,0.1581,0.0287,2.5934,0.050966,2.041,0.091103,0.9211,0.003106,24.3845,0.8728,2.5796,0.028953,1.9857,0.022294,0.922,0.001753,23.3593,0.6576,0.6473,0.6944,0.6871,0.6768,-1.0153
Ghardaia,60566,Saharan,2.4829,1.8364,0.9225,0.692,0.0,0.0027,3.2291,2.6075,0.8689,-0.0832,0.1348,0.0245,1.0081,0.749,0.9872,0.9494,0.0,0.0018,4.9109,3.869,0.6967,0.0547,9.0756,0.0018,4.9161,3.8729,0.6961,0.0542,42.7526,0.001,2.6591,0.139,2.1402,0.163015,0.9109,0.009544,9.2758,0.2099,2.3842,1.7464,0.9285,4.2942,0.0275,2.4453,0.094201,1.8707,0.128503,0.9247,0.005878,25.7687,0.882,2.3854,0.006564,1.7641,0.00777,0.9284,0.000385,20.0289,0.6269,0.6278,0.6962,0.6871,0.6839,-1.3662
Bechar,60571,Saharan,2.2826,1.6286,0.9367,0.7048,0.0,0.0032,3.023,2.3364,0.8889,0.0045,0.1344,0.0372,1.1824,0.9572,0.983,0.9383,0.0,0.0018,4.9195,3.7643,0.7059,0.0951,24.6119,0.0017,4.9126,3.7565,0.7067,0.095,39.5146,0.0019,2.6264,0.22977,2.1525,0.264042,0.9157,0.014594,10.3111,0.2569,2.1988,1.5758,0.9412,0.1429,0.0279,2.3297,0.097503,1.8078,0.140568,0.934,0.005566,27.5638,0.8464,2.2156,0.020835,1.597,0.028764,0.9403,0.001141,16.8537,0.7284,0.64,0.6996,0.6927,0.6966,-0.8738
El Golea,60590,Saharan,2.4924,1.819,0.9253,0.7231,0.0,0.0031,3.3915,2.7246,0.8617,-0.0297,0.1471,0.0295,1.1704,0.8127,0.9835,0.938,0.0,0.0016,5.05,3.9656,0.6934,0.1331,8.9356,0.0016,5.0162,3.9446,0.6975,0.1344,57.6175,0.0019,2.7041,0.151346,2.1464,0.171158,0.9119,0.010088,9.6909,0.2183,2.4139,1.7366,0.9299,0.2552,0.0263,2.4516,0.047088,1.8199,0.09582,0.9277,0.00282,28.3302,1.0123,2.416,0.011251,1.7547,0.018663,0.9298,0.000672,22.8915,0.6928,0.6633,0.7248,0.7186,0.712,-1.0643
