date,tmin,tmax
2018-07-21,23.9,34.6
2018-07-22,21.8,30.0
2018-07-23,22.0,29.0
2018-07-24,17.6,29.0
2018-07-25,17.0,31.0
2018-07-26,18.0,30.0
2018-07-27,19.4,29.3
2018-07-28,20.7,30.3
2018-07-29,20.5,30.7
2018-07-30,18.6,31.0
2018-07-31,19.3,29.2
2018-08-01,18.0,30.0
2018-08-02,20.0,32.0
2018-08-03,21.0,31.0
2018-08-04,21.0,32.0
2018-08-05,20.6,29.0
2018-08-06,22.3,30.0
2018-08-07,22.0,30.2
2018-08-08,21.9,31.0
2018-08-09,21.0,30.5
2018-08-10,24.0,32.0
2018-08-11,23.7,30.6
2018-08-12,22.4,31.0
2018-08-13,23.0,33.0
2018-08-14,21.3,31.1
2018-08-15,22.9,31.0
2018-08-16,20.5,30.0
2018-08-17,20.6,29.0
2018-08-18,20.8,28.0
2018-08-19,20.0,30.4
2018-08-20,20.6,29.0
2018-08-21,19.0,29.0
2018-08-22,19.9,30.0
2018-08-23,20.7,29.0
2018-08-24,21.0,31.0
2018-08-25,21.5,29.0
2018-08-26,19.4,29.0
2018-08-27,18.9,28.0
2018-08-28,16.9,29.0
2018-08-29,17.3,28.0
2018-08-30,19.7,30.0
2018-08-31,19.0,29.0
2018-09-01,19.0,29.0
2018-09-02,21.5,28.4
2018-09-03,18.6,29.0
2018-09-04,20.7,31.4
2018-09-05,23.5,35.0
2018-09-06,20.6,30.0
2018-09-07,20.6,29.0
2018-09-08,22.7,30.0
2018-09-09,22.9,32.0
2018-09-10,24.0,31.2
2018-09-11,22.0,29.0
2018-09-12,21.8,30.0
2018-09-13,23.0,28.0
2018-09-14,21.9,28.5
2018-09-15,18.0,28.2
2018-09-16,21.5,32.8
2018-09-17,22.7,34.0
2018-09-18,24.0,34.0
2018-09-19,21.8,30.0
2018-09-20,20.9,28.0
2018-09-21,20.5,29.1
2018-09-22,21.0,28.0
2018-09-23,19.8,28.0
2018-09-24,19.4,30.2
2018-09-25,19.5,28.0
2018-09-26,18.0,26.0
2018-09-27,14.0,24.4
2018-09-28,14.0,25.0
2018-09-29,16.6,26.0
2018-09-30,15.7,28.0
2018-10-01,15.0,26.0
2018-10-02,14.5,21.0
2018-10-03,14.5,22.2
2018-10-04,16.3,23.0
2018-10-05,15.9,24.0
2018-10-06,16.0,27.9
2018-10-07,15.5,26.0
2018-10-08,14.9,28.6
2018-10-09,16.8,27.0
2018-10-10,20.0,27.0
2018-10-11,19.5,30.3
2018-10-12,17.4,26.6
2018-10-13,17.9,24.4
2018-10-14,14.7,25.0
2018-10-15,15.7,25.3
2018-10-16,15.3,24.0
2018-10-17,16.5,20.3
2018-10-18,16.5,23.0
2018-10-19,15.7,25.0
2018-10-20,14.9,25.0
2018-10-21,16.0,25.0
2018-10-22,16.0,25.3
2018-10-23,15.0,22.0
2018-10-24,14.4,23.7
2018-10-25,15.0,24.6
2018-10-26,13.7,29.0
2018-10-27,15.2,28.0
2018-10-28,19.0,25.7
2018-10-29,13.8,19.0
2018-10-30,10.6,22.0
2018-10-31,9.0,22.0
2018-11-01,10.9,24.0
2018-11-02,12.3,20.3
2018-11-03,11.8,19.0
2018-11-04,13.0,16.0
2018-11-05,10.2,23.0
2018-11-06,11.0,20.6
2018-11-07,8.8,21.6
2018-11-08,8.6,21.2
2018-11-09,12.0,22.0
2018-11-10,9.5,18.1
2018-11-11,11.8,22.0
2018-11-12,9.0,25.0
2018-11-13,12.3,24.6
2018-11-14,14.0,25.4
2018-11-15,13.0,22.0
2018-11-16,10.6,20.0
2018-11-17,10.8,19.0
2018-11-18,10.8,21.0
2018-11-19,12.7,22.0
2018-11-20,11.0,19.4
2018-11-21,8.8,21.2
2018-11-22,7.6,26.0
2018-11-23,11.5,25.0
2018-11-24,11.0,18.0
2018-11-25,10.0,18.0
2018-11-26,8.8,21.0
2018-11-27,11.0,17.0
2018-11-28,12.7,19.0
2018-11-29,10.0,19.0
2018-11-30,5.6,21.0
2018-12-01,11.5,17.0
2018-12-02,9.6,19.0
2018-12-03,9.6,20.0
2018-12-04,8.5,21.0
2018-12-05,9.0,20.6
2018-12-06,8.9,21.0
2018-12-07,13.0,19.0
2018-12-08,10.7,16.0
2018-12-09,11.0,19.0
2018-12-10,11.0,18.0
2018-12-11,10.0,18.3
2018-12-12,7.6,18.0
2018-12-13,8.8,18.0
2018-12-14,9.8,14.4
2018-12-15,10.4,16.3
2018-12-16,9.6,21.0
2018-12-17,11.0,17.4
2018-12-18,8.0,18.0
2018-12-19,5.6,20.0
2018-12-20,7.4,20.0
2018-12-21,10.0,17.2
2018-12-22,7.3,18.0
2018-12-23,5.4,20.0
2018-12-24,4.2,19.2
2018-12-25,8.0,17.0
2018-12-26,6.0,16.3
2018-12-27,3.2,19.0
2018-12-28,5.9,14.0
2018-12-29,5.7,15.3
2018-12-30,8.9,17.0
2018-12-31,8.6,15.2
2019-01-01,8.8,16.0
2019-01-02,9.0,18.1
2019-01-03,6.0,16.0
2019-01-04,4.1,11.3
2019-01-05,5.6,13.0
2019-01-06,9.3,16.5
2019-01-07,9.0,14.0
2019-01-08,6.8,13.0
2019-01-09,9.6,14.5
2019-01-10,6.0,10.0
2019-01-11,5.0,11.0
2019-01-12,4.8,11.0
2019-01-13,7.8,12.0
2019-01-14,8.9,16.0
2019-01-15,10.0,15.0
2019-01-16,6.0,19.0
2019-01-17,5.7,16.0
2019-01-18,4.6,15.0
2019-01-19,6.7,15.0
2019-01-20,5.0,16.0
2019-01-21,9.0,16.0
2019-01-22,7.0,13.0
2019-01-23,4.0,11.0
2019-01-24,5.0,9.4
2019-01-25,5.5,11.0
2019-01-26,7.8,15.0
2019-01-27,6.8,19.1
2019-01-28,8.3,14.0
2019-01-29,9.0,14.0
2019-01-30,6.0,15.0
2019-01-31,4.0,18.0
2019-02-01,11.0,22.0
2019-02-02,10.0,15.0
2019-02-03,6.8,10.0
2019-02-04,6.5,12.0
2019-02-05,7.5,15.0
2019-02-06,7.6,16.1
2019-02-07,9.0,17.0
2019-02-08,5.9,16.0
2019-02-09,5.5,18.0
2019-02-10,6.1,25.0
2019-02-11,7.7,15.0
2019-02-12,7.0,14.4
2019-02-13,4.5,14.1
2019-02-14,3.3,16.0
2019-02-15,2.8,15.0
2019-02-16,2.0,15.8
2019-02-17,2.8,17.3
2019-02-18,4.4,17.1
2019-02-19,4.8,18.4
2019-02-20,4.4,16.0
2019-02-21,6.9,16.8
2019-02-22,8.5,16.0
2019-02-23,9.0,17.1
2019-02-24,7.0,13.0
2019-02-25,6.5,14.0
2019-02-26,6.9,13.0
2019-02-27,6.3,16.0
2019-02-28,5.5,16.3
2019-03-01,5.4,20.1
2019-03-02,6.7,17.2
2019-03-03,6.7,19.4
2019-03-04,6.0,25.2
2019-03-05,6.3,22.2
