date,tmin,tmax
2018-07-21,21.9,42.0
2018-07-22,24.3,41.2
2018-07-23,23.0,33.4
2018-07-24,15.5,34.3
2018-07-25,16.2,37.0
2018-07-26,21.0,38.0
2018-07-27,20.9,39.0
2018-07-28,20.0,37.8
2018-07-29,21.0,37.2
2018-07-30,18.8,36.0
2018-07-31,18.0,36.0
2018-08-01,20.0,35.0
2018-08-02,18.3,36.0
2018-08-03,19.0,33.0
2018-08-04,16.4,30.0
2018-08-05,17.4,29.0
2018-08-06,18.1,26.5
2018-08-07,16.0,29.2
2018-08-08,17.5,31.5
2018-08-09,19.5,37.0
2018-08-10,20.0,35.0
2018-08-11,18.5,30.5
2018-08-12,17.2,29.9
2018-08-13,19.4,30.0
2018-08-14,17.2,33.0
2018-08-15,17.4,30.0
2018-08-16,16.4,29.7
2018-08-17,17.5,30.0
2018-08-18,16.3,30.0
2018-08-19,18.0,28.3
2018-08-20,15.9,27.0
2018-08-21,16.2,27.1
2018-08-22,14.2,29.2
2018-08-23,14.5,29.0
2018-08-24,14.1,29.0
2018-08-25,15.2,30.0
2018-08-26,16.4,33.0
2018-08-27,16.0,33.0
2018-08-28,15.4,31.0
2018-08-29,14.0,33.0
2018-08-30,15.9,32.0
2018-08-31,17.0,31.0
2018-09-01,14.6,33.8
2018-09-02,16.3,34.0
2018-09-03,17.5,36.0
2018-09-04,19.1,34.0
2018-09-05,19.6,37.0
2018-09-06,20.0,35.0
2018-09-07,19.0,35.0
2018-09-08,18.3,36.0
2018-09-09,19.8,36.0
2018-09-10,20.4,34.0
2018-09-11,17.9,34.5
2018-09-12,18.8,34.0
2018-09-13,18.2,26.0
2018-09-14,16.8,27.0
2018-09-15,16.1,31.0
2018-09-16,17.0,32.1
2018-09-17,18.3,32.0
2018-09-18,18.0,25.7
2018-09-19,15.5,29.0
2018-09-20,14.2,27.1
2018-09-21,15.4,26.6
2018-09-22,16.8,26.0
2018-09-23,15.5,28.0
2018-09-24,12.5,29.2
2018-09-25,13.5,29.0
2018-09-26,15.0,23.0
2018-09-27,8.4,21.7
2018-09-28,7.7,23.0
2018-09-29,8.0,26.4
2018-09-30,9.5,29.1
2018-10-01,10.0,29.5
2018-10-02,12.0,17.0
2018-10-03,9.8,16.0
2018-10-04,10.8,18.3
2018-10-05,10.6,21.5
2018-10-06,10.7,25.2
2018-10-07,12.3,27.9
2018-10-08,10.0,26.0
2018-10-09,13.9,23.5
2018-10-10,16.0,24.0
2018-10-11,15.4,26.4
2018-10-12,12.0,24.6
2018-10-13,12.1,21.5
2018-10-14,12.0,24.9
2018-10-15,13.5,24.0
2018-10-16,14.0,18.2
2018-10-17,10.5,15.2
2018-10-18,9.0,20.0
2018-10-19,9.8,22.0
2018-10-20,9.2,24.1
2018-10-21,10.6,24.1
2018-10-22,9.4,22.0
2018-10-23,10.4,18.0
2018-10-24,10.1,18.6
2018-10-25,9.1,21.8
2018-10-26,7.8,22.2
2018-10-27,10.0,21.7
2018-10-28,13.4,21.0
2018-10-29,8.0,16.6
2018-10-30,3.5,16.0
2018-10-31,4.4,20.0
2018-11-01,10.6,20.9
2018-11-02,6.7,16.0
2018-11-03,5.0,11.0
2018-11-04,5.3,17.0
2018-11-05,3.1,19.1
2018-11-06,4.3,20.0
2018-11-07,6.5,19.0
2018-11-08,3.1,21.5
2018-11-09,5.4,23.0
2018-11-10,4.1,13.0
2018-11-11,8.5,16.5
2018-11-12,7.4,19.0
2018-11-13,8.9,20.0
2018-11-14,8.1,19.0
2018-11-15,9.0,17.0
2018-11-16,5.3,16.0
2018-11-17,6.8,14.0
2018-11-18,2.4,17.0
2018-11-19,7.9,17.0
2018-11-20,8.0,16.0
2018-11-21,6.0,19.2
2018-11-22,3.1,20.0
2018-11-23,1.7,20.0
2018-11-24,5.5,16.0
2018-11-25,6.0,13.1
2018-11-26,1.0,17.0
2018-11-27,5.6,12.0
2018-11-28,4.4,14.0
2018-11-29,4.5,15.0
2018-11-30,1.0,19.0
2018-12-01,4.8,11.0
2018-12-02,3.7,12.0
2018-12-03,-0.6,16.0
2018-12-04,1.8,17.0
2018-12-05,1.0,19.0
2018-12-06,1.5,21.0
2018-12-07,7.9,13.3
2018-12-08,5.9,12.1
2018-12-09,4.3,15.2
2018-12-10,3.1,14.0
2018-12-11,3.5,16.3
2018-12-12,-1.8,16.2
2018-12-13,-1.9,18.2
2018-12-14,5.0,12.0
2018-12-15,4.5,10.0
2018-12-16,2.5,18.0
2018-12-17,2.5,14.0
2018-12-18,1.5,13.3
2018-12-19,-2.2,18.0
2018-12-20,0.5,15.3
2018-12-21,4.7,12.3
2018-12-22,-0.9,14.1
2018-12-23,-2.7,16.0
2018-12-24,0.2,19.0
2018-12-25,-0.2,15.0
2018-12-26,2.0,12.4
2018-12-27,-3.0,14.0
2018-12-28,-2.6,13.8
2018-12-29,2.4,10.3
2018-12-30,-2.9,11.6
2018-12-31,1.4,10.0
2019-01-01,2.8,10.0
2019-01-02,1.9,14.1
2019-01-03,4.1,11.0
2019-01-04,3.3,5.5
2019-01-05,1.1,7.0
